FileName: C:\GULFNE~1\GP215.TXT
Local Time: Sat Sep 20 09:20:47 2003

Ship: MarcoMichel Trip: 002gulf Tow: gp215
Comments: Zone 12, secteur western bradelle
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread      Depth 
030920  122049  47  38.6110 N  62  42.6980 W   4.9       13.5*      10.0*      12.5*      28.2 
030920  122051  47  38.6130 N  62  42.6950 W   4.7       13.5       10.0       12.5       28.2 
030920  122054  47  38.6160 N  62  42.6900 W   4.8       13.5       10.0       12.5       28.2 
030920  122056  47  38.6170 N  62  42.6860 W   5.1       13.5       10.0       12.5       28.2 
030920  122057  47  38.6180 N  62  42.6850 W   5.4       13.5       10.0       12.5       28.2 
030920  122059  47  38.6200 N  62  42.6810 W   5.6       13.5       10.0       12.5       28.2 
030920  122102  47  38.6230 N  62  42.6750 W   6.0       13.5       10.0       12.5       28.2 
030920  122104  47  38.6240 N  62  42.6710 W   6.1       13.5       10.0       12.5       28.2 
030920  122105  47  38.6250 N  62  42.6690 W   6.0       13.5       10.0       12.5       28.2 
030920  122108  47  38.6280 N  62  42.6630 W   5.7       13.5       10.0       12.5       28.2 
030920  122110  47  38.6300 N  62  42.6600 W   5.6       13.5       10.0       12.5       28.2 
030920  122112  47  38.6320 N  62  42.6560 W   5.3       13.5       10.0       12.5       28.2 
030920  122114  47  38.6330 N  62  42.6520 W   5.2       13.5       10.0       12.5       28.2 
030920  122115  47  38.6340 N  62  42.6510 W   5.2       13.5       10.0       12.5       28.2 
030920  122118  47  38.6370 N  62  42.6450 W   5.1       13.5       10.0       12.5       28.2 
030920  122120  47  38.6380 N  62  42.6420 W   5.1       13.5       10.0       12.5       28.2 
030920  122122  47  38.6400 N  62  42.6380 W   5.3       13.5       10.0       12.5       28.2 
030920  122124  47  38.6410 N  62  42.6340 W   5.3       13.5       10.0       12.5       28.2 
030920  122126  47  38.6420 N  62  42.6310 W   5.5       13.5       10.0       12.5       28.2 
030920  122128  47  38.6440 N  62  42.6270 W   6.2       13.5       10.0       12.5       28.2 
030920  122130  47  38.6460 N  62  42.6220 W   6.9       13.5       10.0       12.5       28.2 
030920  122132  47  38.6480 N  62  42.6170 W   7.1       13.5       10.0       12.5       28.2 
030920  122134  47  38.6510 N  62  42.6120 W   7.1       13.5       10.0       12.5       28.2 
030920  122136  47  38.6530 N  62  42.6070 W   7.1       13.5       10.0       12.5       28.2 
030920  122138  47  38.6560 N  62  42.6020 W   7.2       13.5       10.0       12.5       28.2 
030920  122140  47  38.6580 N  62  42.5970 W   7.2       13.5       10.0       12.5       28.2 
030920  122142  47  38.6600 N  62  42.5920 W   7.5       13.5       10.0       12.5       28.2 
030920  122144  47  38.6630 N  62  42.5870 W   8.1       13.5       10.0       12.5       28.2 
030920  122145  47  38.6640 N  62  42.5840 W   8.2       13.5       10.0       12.5       28.2 
030920  122148  47  38.6680 N  62  42.5750 W   8.2       13.5       10.0       12.5       28.2 
030920  122150  47  38.6700 N  62  42.5700 W   8.0       13.5       10.0       12.5       28.2 
030920  122152  47  38.6720 N  62  42.5640 W   8.0       13.5       10.0       12.5       28.2 
030920  122154  47  38.6750 N  62  42.5580 W   8.0       13.5       10.0       12.5       28.2 
030920  122156  47  38.6770 N  62  42.5530 W   7.8       13.5       10.0       12.5       28.2 
030920  122158  47  38.6790 N  62  42.5470 W   7.2       13.5       10.0       66.5*      28.2 
030920  122200  47  38.6820 N  62  42.5430 W   6.7       13.5       10.0       66.5       28.2 
030920  122202  47  38.6840 N  62  42.5390 W   6.1       13.5       10.0       66.5       28.2 
030920  122204  47  38.6860 N  62  42.5350 W   5.7       13.5       10.0        3.2*      28.2 
030920  122206  47  38.6870 N  62  42.5310 W   5.4       13.5       10.0        3.2       28.2 
030920  122208  47  38.6890 N  62  42.5280 W   5.2       13.5       10.0       23.6*      28.2 
030920  122210  47  38.6900 N  62  42.5240 W   5.0       13.5       10.0       23.6       28.2 
030920  122212  47  38.6920 N  62  42.5210 W   4.7       13.5       10.0       23.6       28.2 
030920  122214  47  38.6930 N  62  42.5180 W   4.4       13.5       10.0       23.6       28.2 
030920  122216  47  38.6940 N  62  42.5150 W   4.2       13.5       10.0       23.6       28.2 
030920  122218  47  38.6950 N  62  42.5120 W   4.0       13.5       10.0        2.8*      28.2 
030920  122220  47  38.6970 N  62  42.5090 W   4.0       13.5       10.0        2.8       28.2 
030920  122222  47  38.6980 N  62  42.5060 W   3.7       13.5       10.0        2.8       28.2 
030920  122224  47  38.6990 N  62  42.5040 W   3.7       13.5       10.0        2.6*       4.4*
030920  122226  47  38.7000 N  62  42.5010 W   3.9       13.5       10.0        2.6        4.4 
030920  122228  47  38.7010 N  62  42.4980 W   4.2       13.5       10.0        2.6        4.4 
030920  122230  47  38.7030 N  62  42.4950 W   5.0       13.5       10.0        3.3*       4.4 
030920  122232  47  38.7040 N  62  42.4920 W   5.4       13.5       10.0        3.3        4.4 
030920  122234  47  38.7060 N  62  42.4880 W   6.0       13.5       10.0        3.1*       4.4 
030920  122236  47  38.7080 N  62  42.4840 W   6.4       13.5       10.0        3.1        4.4 
030920  122238  47  38.7100 N  62  42.4790 W   6.8       13.5       10.0        3.1        4.4 
030920  122240  47  38.7120 N  62  42.4740 W   7.0       13.5       10.0        3.1        4.4 
030920  122242  47  38.7150 N  62  42.4690 W   7.5       13.5       10.0        3.1        4.4 
030920  122244  47  38.7170 N  62  42.4640 W   7.5       13.5       10.0        3.1        4.4 
030920  122246  47  38.7200 N  62  42.4590 W   7.8       13.5       10.0        3.1        4.4 
030920  122248  47  38.7230 N  62  42.4540 W   7.6       13.5       10.0        3.1        4.4 
030920  122250  47  38.7250 N  62  42.4490 W   7.8       13.5       10.0        3.1        4.4 
030920  122252  47  38.7280 N  62  42.4440 W   7.7       13.5       10.0        3.1        4.4 
030920  122254  47  38.7310 N  62  42.4390 W   7.8       13.5       10.0        3.1        4.4 
030920  122256  47  38.7330 N  62  42.4340 W   8.1       13.5       10.0        3.1        4.4 
