FileName: C:\GULFNE~1\GP116.TXT
Local Time: Fri Sep 19 06:22:56 2003

Ship: MarcoMichel Trip: 002gulf Tow: gp116
Comments: Zone 12, vallee de shediac
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread      Depth 
030919  092259  47  36.3950 N  64   4.2460 W   7.6        3.4*       2.3*       3.4*       0.0 
030919  092301  47  36.3990 N  64   4.2430 W   7.7        3.4        2.3        3.4        0.0 
030919  092303  47  36.4020 N  64   4.2410 W   7.7        3.4        2.3        3.4        0.0 
030919  092305  47  36.4060 N  64   4.2390 W   7.7        3.4        2.3        3.4        0.0 
030919  092307  47  36.4110 N  64   4.2370 W   7.8        3.4        2.3        3.4        0.0 
030919  092309  47  36.4150 N  64   4.2340 W   7.9        3.4        2.3        3.4        0.0 
030919  092311  47  36.4190 N  64   4.2320 W   7.8        3.4        2.3        3.4        0.0 
030919  092313  47  36.4230 N  64   4.2300 W   7.8        3.4        2.3        3.4        0.0 
030919  092315  47  36.4270 N  64   4.2270 W   7.7        3.4        2.3        3.4        0.0 
030919  092317  47  36.4310 N  64   4.2250 W   7.8        3.4        2.3        3.4        0.0 
030919  092319  47  36.4350 N  64   4.2230 W   7.8        3.4        2.3        3.4        0.0 
030919  092321  47  36.4390 N  64   4.2200 W   7.8        3.4        2.3        3.4        0.0 
030919  092323  47  36.4430 N  64   4.2180 W   7.9        3.4        2.3        3.4        0.0 
030919  092325  47  36.4470 N  64   4.2160 W   7.8        3.4        2.3        3.4        0.0 
030919  092327  47  36.4510 N  64   4.2140 W   7.8        3.4        2.3        3.4        0.0 
030919  092329  47  36.4560 N  64   4.2120 W   7.8        3.4        2.3        3.4        0.0 
030919  092331  47  36.4600 N  64   4.2100 W   7.7        3.4        2.3        3.4        0.0 
030919  092333  47  36.4640 N  64   4.2080 W   7.8        3.4        2.3        3.4        0.0 
030919  092335  47  36.4680 N  64   4.2060 W   7.8        3.4        2.3        3.4        0.0 
030919  092337  47  36.4720 N  64   4.2040 W   7.7        3.4        2.3        3.4        0.0 
030919  092339  47  36.4760 N  64   4.2010 W   7.8        3.4        2.3        3.4        0.0 
030919  092341  47  36.4800 N  64   4.1990 W   7.8        3.4        2.3        3.4        0.0 
030919  092343  47  36.4840 N  64   4.1970 W   7.9        3.4        2.3        3.4        0.0 
030919  092345  47  36.4880 N  64   4.1950 W   7.9        3.4        2.3        3.4        0.0 
030919  092347  47  36.4920 N  64   4.1930 W   7.9        3.4        2.3        3.4        0.0 
030919  092349  47  36.4970 N  64   4.1910 W   7.8        3.4        2.3        3.4        0.0 
030919  092351  47  36.5010 N  64   4.1890 W   7.9        3.4        2.3        3.4        0.0 
030919  092353  47  36.5050 N  64   4.1860 W   7.9        3.4        2.3        3.4        0.0 
030919  092355  47  36.5090 N  64   4.1840 W   7.9        3.4        2.3        3.4        0.0 
030919  092357  47  36.5130 N  64   4.1820 W   8.0        3.4        2.3        3.4        0.0 
030919  092359  47  36.5170 N  64   4.1790 W   7.9        3.4        2.3        3.4        0.0 
030919  092401  47  36.5220 N  64   4.1770 W   7.9        3.4        2.3        3.4        0.0 
030919  092403  47  36.5260 N  64   4.1750 W   7.9        3.4        2.3        3.4        0.0 
030919  092405  47  36.5300 N  64   4.1730 W   7.7        3.4        2.3        3.4        0.0 
030919  092407  47  36.5340 N  64   4.1700 W   7.9        3.4        2.3        3.4        0.0 
030919  092409  47  36.5380 N  64   4.1680 W   7.9        3.4        2.3        3.4        0.0 
030919  092411  47  36.5420 N  64   4.1660 W   7.9        3.4        2.3        3.4        0.0 
030919  092413  47  36.5460 N  64   4.1640 W   7.9        3.4        2.3        3.4        0.0 
030919  092415  47  36.5500 N  64   4.1610 W   7.7        3.4        2.3        3.4        0.0 
030919  092417  47  36.5540 N  64   4.1590 W   7.1        3.4        2.3        3.4        0.0 
030919  092419  47  36.5580 N  64   4.1580 W   6.8        3.4        2.3        3.4        0.0 
030919  092421  47  36.5610 N  64   4.1560 W   6.6        3.4        2.3        3.4       76.5*
030919  092423  47  36.5640 N  64   4.1540 W   6.3        3.4        2.3        3.4       76.5 
030919  092425  47  36.5670 N  64   4.1520 W   5.9        3.4        2.3        3.4       33.0*
030919  092427  47  36.5700 N  64   4.1500 W   5.5        3.4        2.3        3.4       33.0 
030919  092429  47  36.5730 N  64   4.1490 W   4.8        3.4        2.3        3.4       33.0 
030919  092431  47  36.5750 N  64   4.1480 W   4.3        3.4        2.3        3.4       26.8*
030919  092433  47  36.5770 N  64   4.1460 W   3.9        3.4        2.3        9.4*      26.8 
030919  092435  47  36.5790 N  64   4.1450 W   3.6        3.4        2.3        9.4       33.4*
030919  092437  47  36.5810 N  64   4.1450 W   3.3        3.4        2.3        9.4       33.4 
030919  092439  47  36.5820 N  64   4.1430 W   3.0        3.4        2.3        9.3*      33.4 
