% Instrument type = SBE56
% Serial Number = 05607477
% Firmware Version = SBE56 V0.96
% Conversion Date = 2018-09-12
% Source file = C:\Users\Temp\Desktop\MINILOG 2018\test\anchor outside 19 2017\SBE05607477_2018-09-12.xml
% Calibration Date = 2017-01-27
% Coefficients: 
%       A0 = -1.295961E-3
%       A1 = 3.416024E-4
%       A2 = -5.879263E-6
%       A3 = 1.880126E-7
"Date","Time","Temperature"
"2017-08-22","20:07:02","25.4552"
"2017-08-22","21:07:02","25.3279"
"2017-08-22","22:07:02","25.1935"
"2017-08-22","23:07:02","25.0255"
"2017-08-23","00:07:02","24.7766"
"2017-08-23","01:07:02","24.8394"
"2017-08-23","02:07:02","24.5287"
"2017-08-23","03:07:02","24.2880"
"2017-08-23","04:07:02","24.1314"
"2017-08-23","05:07:02","24.0676"
"2017-08-23","06:07:02","24.1503"
"2017-08-23","07:07:02","24.4010"
"2017-08-23","08:07:02","24.3909"
"2017-08-23","09:07:02","24.4783"
"2017-08-23","10:07:02","24.6474"
"2017-08-23","11:07:02","24.7227"
"2017-08-23","12:07:02","24.7642"
"2017-08-23","13:07:02","24.8443"
"2017-08-23","14:07:02","24.9894"
"2017-08-23","15:07:02","25.0404"
"2017-08-23","16:07:02","25.1145"
"2017-08-23","17:07:02","25.2583"
"2017-08-23","18:07:02","25.4164"
"2017-08-23","19:07:02","25.5455"
"2017-08-23","20:07:02","25.7312"
"2017-08-23","21:07:02","25.6953"
"2017-08-23","22:07:02","25.6090"
"2017-08-23","23:07:02","25.3719"
"2017-08-24","00:07:02","25.1733"
"2017-08-24","01:07:02","24.9988"
"2017-08-24","02:07:02","24.8570"
"2017-08-24","03:07:02","24.6013"
"2017-08-24","04:07:02","24.3141"
"2017-08-24","05:07:02","24.1804"
"2017-08-24","06:07:02","24.1310"
"2017-08-24","07:07:02","23.8451"
"2017-08-24","08:07:02","23.6314"
"2017-08-24","09:07:02","23.5850"
"2017-08-24","10:07:02","23.7266"
"2017-08-24","11:07:02","23.8412"
"2017-08-24","12:07:02","23.9297"
"2017-08-24","13:07:02","24.2086"
"2017-08-24","14:07:02","24.4262"
"2017-08-24","15:07:02","24.6219"
"2017-08-24","16:07:02","24.7991"
"2017-08-24","17:07:02","25.1001"
"2017-08-24","18:07:02","25.3709"
"2017-08-24","19:07:02","25.4344"
