Source File: C:\Users\Temp\Desktop\MINILOG 2018\Minilog-TD_6385_20180711_1.vld
Source Device: Minilog-TD-6385
Study Description: test ice
Minilog Initialized: 2018-07-11 09:02:08 (UTC-3)
Study Start Time: 2018-07-11 09:02:08
Study Stop Time: 2018-07-11 10:18:47
Sample Interval: 00:00:01
Date(yyyy-mm-dd),Time(hh:mm:ss),Temperature (°C),Depth (m)
2018-07-11,09:02:08,20.80,7.60
2018-07-11,09:02:09,20.80,7.60
2018-07-11,09:02:10,20.80,7.60
2018-07-11,09:02:11,20.96,7.60
2018-07-11,09:02:12,20.80,7.60
2018-07-11,09:02:13,20.96,7.60
2018-07-11,09:02:14,20.96,7.60
2018-07-11,09:02:15,20.96,7.60
2018-07-11,09:02:16,20.96,7.60
2018-07-11,09:02:17,20.96,7.60
2018-07-11,09:02:18,20.96,7.60
2018-07-11,09:02:19,20.96,7.60
2018-07-11,09:02:20,20.96,7.60
2018-07-11,09:02:21,20.96,7.60
2018-07-11,09:02:22,20.96,7.60
2018-07-11,09:02:23,20.96,7.60
2018-07-11,09:02:24,20.96,7.60
2018-07-11,09:02:25,20.96,7.60
2018-07-11,09:02:26,20.96,7.60
2018-07-11,09:02:27,20.96,7.60
2018-07-11,09:02:28,20.96,7.60
2018-07-11,09:02:29,20.96,7.60
2018-07-11,09:02:30,20.96,7.60
2018-07-11,09:02:31,20.96,7.60
2018-07-11,09:02:32,20.96,7.60
2018-07-11,09:02:33,20.96,7.60
2018-07-11,09:02:34,20.96,7.60
2018-07-11,09:02:35,20.96,7.60
2018-07-11,09:02:36,20.96,7.60
2018-07-11,09:02:37,20.96,7.60
2018-07-11,09:02:38,20.96,7.60
2018-07-11,09:02:39,20.96,7.60
2018-07-11,09:02:40,20.96,7.60
2018-07-11,09:02:41,20.96,7.60
2018-07-11,09:02:42,20.96,7.60
2018-07-11,09:02:43,20.96,7.60
2018-07-11,09:02:44,20.96,7.60
2018-07-11,09:02:45,20.96,7.60
2018-07-11,09:02:46,20.96,7.60
2018-07-11,09:02:47,20.96,7.60
2018-07-11,09:02:48,20.96,7.60
2018-07-11,09:02:49,20.96,7.60
2018-07-11,09:02:50,20.96,7.60
2018-07-11,09:02:51,20.96,7.60
2018-07-11,09:02:52,20.96,7.60
2018-07-11,09:02:53,20.96,7.60
2018-07-11,09:02:54,20.96,7.60
2018-07-11,09:02:55,20.96,7.60
2018-07-11,09:02:56,20.96,7.60
2018-07-11,09:02:57,20.96,7.60
2018-07-11,09:02:58,20.96,7.60
2018-07-11,09:02:59,20.96,7.60
2018-07-11,09:03:00,20.96,7.60
2018-07-11,09:03:01,21.12,7.60
