[NOTUS TEXTFILE V3.1]
File Created: 11-Jul-2020 12:31:52
Tow Date: 11-Jul-2020 6:29:26


Transponder: C24S
Placement: Starboard

Code,Time,Range(m),Data(m),Latitude,Longitude,Echo Sounder(m),Comment
C24S,06:29:33,---,---,46°15.460' N,64°30.617' W,---,
C24S,06:30:17,---,---,46°15.469' N,64°30.484' W,---,
C24S,06:31:01,---,---,46°15.523' N,64°30.404' W,---,
C24S,06:31:46,---,---,46°15.626' N,64°30.424' W,---,
C24S,06:32:30,---,---,46°15.729' N,64°30.401' W,---,
C24S,06:33:14,---,---,46°15.831' N,64°30.370' W,---,
C24S,06:33:58,---,---,46°15.933' N,64°30.347' W,---,
C24S,06:34:42,---,---,46°16.035' N,64°30.323' W,---,
C24S,06:35:26,---,---,46°16.117' N,64°30.243' W,---,
C24S,06:36:10,---,---,46°16.183' N,64°30.124' W,---,
C24S,06:36:54,---,---,46°16.252' N,64°30.002' W,---,
C24S,06:37:38,---,---,46°16.322' N,64°29.885' W,---,
C24S,06:38:22,---,---,46°16.395' N,64°29.768' W,---,
C24S,06:39:06,---,---,46°16.458' N,64°29.642' W,---,
C24S,06:39:50,---,---,46°16.540' N,64°29.547' W,---,
C24S,06:40:34,---,---,46°16.645' N,64°29.490' W,---,
C24S,06:41:18,---,---,46°16.751' N,64°29.456' W,---,
C24S,06:42:02,---,---,46°16.860' N,64°29.455' W,---,
C24S,06:42:47,---,---,46°16.968' N,64°29.436' W,---,
C24S,06:43:31,---,---,46°17.075' N,64°29.400' W,---,
C24S,06:44:15,---,---,46°17.173' N,64°29.337' W,---,
C24S,06:44:59,---,---,46°17.266' N,64°29.256' W,---,
C24S,06:45:43,---,---,46°17.364' N,64°29.187' W,---,
C24S,06:46:27,---,---,46°17.458' N,64°29.111' W,---,
C24S,06:47:11,---,---,46°17.552' N,64°29.035' W,---,
C24S,06:47:55,---,---,46°17.650' N,64°28.957' W,---,
C24S,06:48:39,---,---,46°17.751' N,64°28.892' W,---,
C24S,06:49:24,---,---,46°17.855' N,64°28.817' W,---,
C24S,06:50:08,---,---,46°17.957' N,64°28.756' W,---,
C24S,06:50:52,---,---,46°18.057' N,64°28.687' W,---,
C24S,06:51:36,---,---,46°18.156' N,64°28.616' W,---,
C24S,06:52:20,---,---,46°18.258' N,64°28.551' W,---,
C24S,06:53:04,---,---,46°18.353' N,64°28.481' W,---,
C24S,06:53:48,---,---,46°18.452' N,64°28.415' W,---,
C24S,06:54:32,---,---,46°18.561' N,64°28.357' W,---,
C24S,06:55:16,---,---,46°18.665' N,64°28.293' W,---,
C24S,06:56:00,---,---,46°18.770' N,64°28.228' W,---,
C24S,06:56:45,---,---,46°18.871' N,64°28.154' W,---,
C24S,06:57:29,---,---,46°18.973' N,64°28.088' W,---,
C24S,06:58:13,---,---,46°19.075' N,64°28.023' W,---,
C24S,06:58:57,---,---,46°19.171' N,64°27.942' W,---,
C24S,06:59:41,---,---,46°19.269' N,64°27.866' W,---,
C24S,07:00:25,---,---,46°19.371' N,64°27.795' W,---,
C24S,07:01:09,---,---,46°19.473' N,64°27.722' W,---,
C24S,07:01:53,---,---,46°19.571' N,64°27.646' W,---,
C24S,07:02:37,---,---,46°19.676' N,64°27.609' W,---,
C24S,07:03:21,---,---,46°19.788' N,64°27.640' W,---,
C24S,07:04:05,---,---,46°19.902' N,64°27.656' W,---,
C24S,07:04:49,---,---,46°20.016' N,64°27.668' W,---,
C24S,07:05:33,---,---,46°20.131' N,64°27.686' W,---,
C24S,07:06:18,---,---,46°20.245' N,64°27.730' W,---,
C24S,07:07:02,---,---,46°20.344' N,64°27.794' W,---,
C24S,07:07:46,---,---,46°20.451' N,64°27.855' W,---,
C24S,07:08:30,---,---,46°20.559' N,64°27.919' W,---,
C24S,07:09:14,---,---,46°20.664' N,64°27.988' W,---,
C24S,07:09:58,---,---,46°20.770' N,64°28.050' W,---,
C24S,07:10:42,---,---,46°20.874' N,64°28.118' W,---,
C24S,07:11:26,---,---,46°20.980' N,64°28.178' W,---,
C24S,07:12:10,---,---,46°21.090' N,64°28.244' W,---,
C24S,07:12:54,---,---,46°21.192' N,64°28.309' W,---,
C24S,07:13:38,---,---,46°21.297' N,64°28.373' W,---,
C24S,07:14:22,---,---,46°21.405' N,64°28.437' W,---,
C24S,07:15:06,---,---,46°21.510' N,64°28.504' W,---,
C24S,07:15:50,---,---,46°21.615' N,64°28.570' W,---,
C24S,07:16:34,---,---,46°21.720' N,64°28.637' W,---,
