#B	Created:	28.07.2024 15:09:07
##	Version	SeaStar	9.05
#5	Field separation:	0
#2	Date & Time:	1
#6	Decimal point:	,
#7	Date def.:	dd.mm.yyyy	.
#8	Time def.:	:
##	Axis	0	Temperature(°C)	clRed	FALSE
##	Axis	1	Pressure(Bar)	clBlue	FALSE
##	Axis	2	Angle(°)	clGreen	FALSE
##	Axis	3	EAL	clSkyBlue	FALSE
##	Axis	4	Roll(°)	$00404080	FALSE
##	Series	0	Temp(°C)	clRed	0	Temp(°C)	2
##	Series	1	Press(Bar)	clBlue	1	Press(Bar)	2
##	Series	2	Tilt-X(°)	clGreen	2	Tilt-X(°)	1
##	Series	3	Tilt-Y(°)	$00404080	2	Tilt-Y(°)	1
##	Series	4	Tilt-Z(°)	$00FF0080	2	Tilt-Z(°)	1
##	Series	5	EAL	clSkyBlue	3	EAL	0
##	Series	6	Roll(°)	$00404080	4	Roll(°)	1
##	Recorder	132	DST tilt	1240
##	Chart	132H1240DAT	
#D	Data:	4467	28.07.2024 13:53:00	28.07.2024 15:07:26
51	28.07.2024 13:53:50,000	23,02	0,18	59,3	-23,2	7,5	0	-71,7
52	28.07.2024 13:53:51,000	23,02	0,18	59,4	-24,1	6,5	0	-74,5
53	28.07.2024 13:53:52,000	23,02	0,18	58,8	-24,2	7,0	0	-73,3
54	28.07.2024 13:53:53,000	23,02	0,18	59,7	-23,1	7,2	0	-72,2
55	28.07.2024 13:53:54,000	23,02	0,15	61,2	-22,7	6,1	0	-74,7
56	28.07.2024 13:53:55,000	23,02	0,18	59,8	-23,0	7,2	0	-72,1
57	28.07.2024 13:53:56,000	23,02	0,15	57,8	-25,3	6,9	0	-74,2
58	28.07.2024 13:53:57,000	23,02	0,18	60,6	-23,9	5,6	0	-76,5
59	28.07.2024 13:53:58,000	23,02	0,15	59,7	-22,9	7,4	0	-71,6
60	28.07.2024 13:53:59,000	23,02	0,15	59,0	-23,6	7,4	0	-72,0
61	28.07.2024 13:54:00,000	22,99	0,15	59,4	-23,6	7,0	0	-73,0
62	28.07.2024 13:54:01,000	23,02	0,18	60,1	-22,9	7,0	0	-72,6
63	28.07.2024 13:54:02,000	22,99	0,15	59,6	-23,6	6,8	0	-73,4
64	28.07.2024 13:54:03,000	22,99	0,13	60,3	-23,4	6,3	0	-74,4
65	28.07.2024 13:54:04,000	22,99	0,13	59,7	-22,4	7,9	0	-70,1
66	28.07.2024 13:54:05,000	22,99	0,15	58,9	-24,1	7,0	0	-73,3
67	28.07.2024 13:54:06,000	22,99	0,15	58,0	-23,9	8,2	0	-70,6
68	28.07.2024 13:54:07,000	22,99	0,15	58,7	-24,3	7,1	0	-73,2
69	28.07.2024 13:54:08,000	22,99	0,15	65,1	-22,4	2,5	0	-73,2
70	28.07.2024 13:54:09,000	22,99	0,13	58,3	-24,0	7,7	0	-71,7
71	28.07.2024 13:54:10,000	22,99	0,13	60,0	-23,0	7,0	0	-72,6
72	28.07.2024 13:54:11,000	22,99	0,15	58,5	-25,6	6,0	0	-76,4
73	28.07.2024 13:54:12,000	22,99	0,15	59,8	-23,7	6,5	0	-74,2
74	28.07.2024 13:54:13,000	22,99	0,15	59,4	-23,7	6,9	0	-73,2
75	28.07.2024 13:54:14,000	22,99	0,13	59,4	-22,9	7,6	0	-71,1
76	28.07.2024 13:54:15,000	22,99	0,13	63,1	-21,9	5,0	0	-71,1
77	28.07.2024 13:54:16,000	22,99	0,13	58,6	-24,0	7,4	0	-72,3
78	28.07.2024 13:54:17,000	22,99	0,13	59,0	-23,7	7,2	0	-72,5
79	28.07.2024 13:54:18,000	22,99	0,13	58,5	-24,0	7,6	0	-72,0
80	28.07.2024 13:54:19,000	22,99	0,15	62,0	-22,8	5,2	0	-72,0
81	28.07.2024 13:54:20,000	22,99	0,15	58,5	-23,9	7,6	0	-71,8
82	28.07.2024 13:54:21,000	22,96	0,15	59,2	-23,9	6,9	0	-73,4
83	28.07.2024 13:54:22,000	22,96	0,15	59,3	-23,9	6,8	0	-73,6
84	28.07.2024 13:54:23,000	22,96	0,15	60,8	-22,2	7,0	0	-72,2
85	28.07.2024 13:54:24,000	22,96	0,15	59,1	-23,8	7,1	0	-72,9
86	28.07.2024 13:54:25,000	22,96	0,13	59,1	-23,9	7,0	0	-73,3
87	28.07.2024 13:54:26,000	22,96	0,13	58,5	-26,5	5,0	0	-78,9
88	28.07.2024 13:54:27,000	22,96	0,15	59,6	-22,9	7,5	0	-71,3
89	28.07.2024 13:54:28,000	22,96	0,15	59,1	-24,0	7,0	0	-73,3
90	28.07.2024 13:54:29,000	22,96	0,15	59,5	-23,9	6,5	0	-74,3
91	28.07.2024 13:54:30,000	22,96	0,15	61,4	-20,8	7,8	0	-74,3
92	28.07.2024 13:54:31,000	22,96	0,15	53,3	-26,6	10,1	0	-68,6
93	28.07.2024 13:54:32,000	22,96	0,15	74,5	-12,8	2,6	0	-68,6
94	28.07.2024 13:54:33,000	22,96	0,15	58,1	-23,7	8,3	0	-70,2
95	28.07.2024 13:54:34,000	22,96	0,15	58,8	-24,1	7,1	1	-73,0
96	28.07.2024 13:54:35,000	22,96	0,13	73,8	-9,7	6,5	0	-73,0
97	28.07.2024 13:54:36,000	22,96	0,13	54,7	-22,7	12,6	0	-60,3
98	28.07.2024 13:54:37,000	22,96	0,13	59,3	-23,6	7,1	0	-72,8
99	28.07.2024 13:54:38,000	22,96	0,13	60,1	-25,3	4,5	0	-79,6
100	28.07.2024 13:54:39,000	22,96	0,15	59,0	-24,0	7,1	0	-73,1
101	28.07.2024 13:54:40,000	22,96	0,15	59,0	-24,3	6,8	0	-74,0
102	28.07.2024 13:54:41,000	22,96	0,15	61,3	-23,5	5,2	0	-77,1
103	28.07.2024 13:54:42,000	22,96	0,13	59,3	-23,9	6,9	0	-73,5
104	28.07.2024 13:54:43,000	22,96	0,13	57,2	-25,7	7,1	0	-74,0
105	28.07.2024 13:54:44,000	22,93	0,18	71,7	-17,1	1,2	0	-74,0
106	28.07.2024 13:54:45,000	22,96	0,15	59,2	-23,0	7,8	0	-70,9
107	28.07.2024 13:54:46,000	22,93	0,15	58,9	-23,5	7,6	0	-71,5
108	28.07.2024 13:54:47,000	22,93	0,13	72,2	-17,2	0,6	0	-71,5
109	28.07.2024 13:54:48,000	22,93	0,15	58,7	-23,5	7,7	0	-71,3
110	28.07.2024 13:54:49,000	22,93	0,15	60,1	-23,5	6,4	0	-74,4
111	28.07.2024 13:54:50,000	22,93	0,15	60,9	-20,2	8,9	0	-74,4
112	28.07.2024 13:54:51,000	22,93	0,15	59,7	-23,1	7,3	0	-72,1
113	28.07.2024 13:54:52,000	22,93	0,15	60,6	-23,0	6,4	0	-74,0
114	28.07.2024 13:54:53,000	22,93	0,15	60,4	-22,8	6,7	0	-73,1
115	28.07.2024 13:54:54,000	22,93	0,15	58,8	-23,7	7,5	0	-71,9
116	28.07.2024 13:54:55,000	22,93	0,15	61,4	-24,3	4,4	0	-79,5
117	28.07.2024 13:54:56,000	22,93	0,15	59,7	-23,7	6,7	0	-73,8
118	28.07.2024 13:54:57,000	22,93	0,15	61,3	-22,5	6,1	0	-73,8
119	28.07.2024 13:54:58,000	22,93	0,15	59,1	-24,1	6,9	0	-73,6
120	28.07.2024 13:54:59,000	22,93	0,15	58,7	-23,5	7,8	0	-71,1
121	28.07.2024 13:55:00,000	22,93	0,13	66,5	-17,0	6,6	0	-71,1
122	28.07.2024 13:55:01,000	22,93	0,15	58,1	-20,2	11,7	0	-59,5
123	28.07.2024 13:55:02,000	22,93	0,15	58,4	-23,8	7,8	0	-71,3
124	28.07.2024 13:55:03,000	22,93	0,18	63,3	-23,4	3,3	0	-71,3
125	28.07.2024 13:55:04,000	22,93	0,13	59,0	-21,9	9,1	0	-66,9
126	28.07.2024 13:55:05,000	22,93	0,18	57,3	-25,4	7,3	0	-73,4
127	28.07.2024 13:55:06,000	22,93	0,15	70,6	-15,6	3,8	0	-73,4
128	28.07.2024 13:55:07,000	22,93	0,15	58,9	-23,9	7,2	0	-72,8
129	28.07.2024 13:55:08,000	22,93	0,15	59,7	-23,0	7,3	0	-71,8
130	28.07.2024 13:55:09,000	22,93	0,15	62,8	-24,3	2,8	0	-83,2
131	28.07.2024 13:55:10,000	22,93	0,15	59,5	-23,4	7,1	0	-72,7
132	28.07.2024 13:55:11,000	22,90	0,13	58,7	-24,2	7,1	0	-73,2
133	28.07.2024 13:55:12,000	22,93	0,15	59,5	-22,8	7,8	0	-70,7
134	28.07.2024 13:55:13,000	22,90	0,15	60,1	-22,7	7,2	0	-71,9
135	28.07.2024 13:55:14,000	22,90	0,15	68,6	-12,0	9,4	0	-71,9
136	28.07.2024 13:55:15,000	22,90	0,15	58,4	-21,8	9,8	0	-65,3
137	28.07.2024 13:55:16,000	22,90	0,15	59,6	-23,1	7,3	0	-72,0
138	28.07.2024 13:55:17,000	22,90	0,15	60,2	-23,1	6,7	0	-73,4
139	28.07.2024 13:55:18,000	22,90	0,15	59,0	-23,6	7,4	0	-72,1
140	28.07.2024 13:55:19,000	22,90	0,15	59,2	-23,1	7,6	0	-71,2
141	28.07.2024 13:55:20,000	22,90	0,15	62,1	-21,9	6,0	0	-71,2
142	28.07.2024 13:55:21,000	22,90	0,15	58,6	-23,8	7,6	0	-71,7
143	28.07.2024 13:55:22,000	22,90	0,15	60,6	-23,1	6,3	0	-74,2
144	28.07.2024 13:55:23,000	22,90	0,18	57,2	-17,8	15,0	0	-49,7
145	28.07.2024 13:55:24,000	22,90	0,13	59,0	-23,0	8,0	0	-70,3
146	28.07.2024 13:55:25,000	22,90	0,15	67,3	-12,1	10,5	0	-70,3
147	28.07.2024 13:55:26,000	22,90	0,18	60,0	-22,6	7,4	0	-71,4
148	28.07.2024 13:55:27,000	22,90	0,15	59,4	-23,3	7,3	0	-72,2
149	28.07.2024 13:55:28,000	22,90	0,15	58,2	-26,2	5,7	0	-77,4
150	28.07.2024 13:55:29,000	22,90	0,15	59,0	-24,0	7,0	0	-73,2
151	28.07.2024 13:55:30,000	22,90	0,15	59,8	-23,9	6,2	0	-74,9
152	28.07.2024 13:55:31,000	22,90	0,15	59,3	-23,8	6,9	0	-73,3
153	28.07.2024 13:55:32,000	22,90	0,15	60,1	-23,1	6,8	0	-73,2
154	28.07.2024 13:55:33,000	22,90	0,15	58,6	-24,9	6,4	0	-75,0
155	28.07.2024 13:55:34,000	22,90	0,15	59,8	-23,1	7,0	0	-72,6
156	28.07.2024 13:55:35,000	22,90	0,15	58,8	-24,1	7,1	0	-73,2
157	28.07.2024 13:55:36,000	22,90	0,15	59,4	-23,7	6,9	0	-73,4
158	28.07.2024 13:55:37,000	22,90	0,15	63,8	-18,0	8,3	0	-73,4
159	28.07.2024 13:55:38,000	22,90	0,15	59,5	-23,5	7,0	0	-72,9
160	28.07.2024 13:55:39,000	22,90	0,15	59,6	-23,6	6,8	0	-73,6
