* ID=Minilog-T
* Serial Number=0614
* Study ID=margaree - bottom
* Start Time=95-05-23 03:06:25
* Finish Time=95-06-08 21:35:34
* Sample Period=02:00:00
* Date(yy-mm-dd),Time(hh:mm:ss),Temp(øC)
95-05-23,03:06:25,12.2
95-05-23,05:06:25,12.2
95-05-23,07:06:25,12.2
95-05-23,09:06:25,12.2
95-05-23,11:06:25,12.2
95-05-23,13:06:25,12.2
95-05-23,15:06:25,12.2
95-05-23,17:06:25,12.2
95-05-23,19:06:25,12.2
95-05-23,21:06:25,12.2
95-05-23,23:06:25,12.2
95-05-24,01:06:25,12.2
95-05-24,03:06:25,12.2
95-05-24,05:06:25,12.2
95-05-24,07:06:25,12.2
95-05-24,09:06:25,12.2
95-05-24,11:06:25,12.2
95-05-24,13:06:25,12.2
95-05-24,15:06:25,12.2
95-05-24,17:06:25,12.2
95-05-24,19:06:25,12.2
95-05-24,21:06:25,12.2
95-05-24,23:06:25,12.2
95-05-25,01:06:25,12.2
95-05-25,03:06:25,12.2
95-05-25,05:06:25,9.3
95-05-25,07:06:25,4.4
95-05-25,09:06:25,3.8
95-05-25,11:06:25,3.0
95-05-25,13:06:25,-1.6
95-05-25,15:06:25,-2.0
95-05-25,17:06:25,4.3
95-05-25,19:06:25,4.3
95-05-25,21:06:25,4.4
95-05-25,23:06:25,4.8
95-05-26,01:06:25,4.7
95-05-26,03:06:25,4.8
95-05-26,05:06:25,4.8
95-05-26,07:06:25,4.7
95-05-26,09:06:25,4.6
95-05-26,11:06:25,4.0
95-05-26,13:06:25,4.0
95-05-26,15:06:25,4.5
95-05-26,17:06:25,4.8
95-05-26,19:06:25,4.8
95-05-26,21:06:25,4.3
95-05-26,23:06:25,4.1
95-05-27,01:06:25,4.4
95-05-27,03:06:25,4.8
95-05-27,05:06:25,4.6
95-05-27,07:06:25,4.5
95-05-27,09:06:25,4.6
95-05-27,11:06:25,4.6
95-05-27,13:06:25,4.2
95-05-27,15:06:25,4.1
95-05-27,17:06:25,4.2
95-05-27,19:06:25,4.4
95-05-27,21:06:25,4.7
95-05-27,23:06:25,4.3
95-05-28,01:06:25,4.6
95-05-28,03:06:25,4.7
95-05-28,05:06:25,4.8
95-05-28,07:06:25,4.8
