* ID=Minilog-T
* Serial Number=0610
* Study ID=pugwash - surface
* Start Time=95-05-23 03:18:23
* Finish Time=95-06-08 21:44:02
* Sample Period=02:00:00
* Date(yy-mm-dd),Time(hh:mm:ss),Temp(øC)
95-05-23,03:18:23,12.1
95-05-23,05:18:23,12.1
95-05-23,07:18:23,12.1
95-05-23,09:18:23,12.1
95-05-23,11:18:23,12.1
95-05-23,13:18:23,12.1
95-05-23,15:18:23,12.1
95-05-23,17:18:23,12.1
95-05-23,19:18:23,12.1
95-05-23,21:18:23,12.1
95-05-23,23:18:23,12.1
95-05-24,01:18:23,12.1
95-05-24,03:18:23,12.1
95-05-24,05:18:23,12.1
95-05-24,07:18:23,12.1
95-05-24,09:18:23,11.8
95-05-24,11:18:23,9.3
95-05-24,13:18:23,9.1
95-05-24,15:18:23,9.3
95-05-24,17:18:23,8.7
95-05-24,19:18:23,12.0
95-05-24,21:18:23,11.0
95-05-24,23:18:23,12.1
95-05-25,01:18:23,12.1
95-05-25,03:18:23,12.1
95-05-25,05:18:23,10.3
95-05-25,07:18:23,9.1
95-05-25,09:18:23,7.0
95-05-25,11:18:23,5.4
95-05-25,13:18:23,4.9
95-05-25,15:18:23,4.0
95-05-25,17:18:23,4.2
95-05-25,19:18:23,7.8
95-05-25,21:18:23,8.0
95-05-25,23:18:23,8.2
95-05-26,01:18:23,8.7
95-05-26,03:18:23,8.8
95-05-26,05:18:23,9.1
95-05-26,07:18:23,9.3
95-05-26,09:18:23,8.8
95-05-26,11:18:23,8.9
95-05-26,13:18:23,8.8
95-05-26,15:18:23,8.7
95-05-26,17:18:23,8.5
95-05-26,19:18:23,8.7
95-05-26,21:18:23,8.8
95-05-26,23:18:23,8.9
95-05-27,01:18:23,8.9
95-05-27,03:18:23,9.1
95-05-27,05:18:23,9.3
95-05-27,07:18:23,8.9
95-05-27,09:18:23,9.2
95-05-27,11:18:23,8.9
95-05-27,13:18:23,8.7
95-05-27,15:18:23,8.6
95-05-27,17:18:23,8.7
95-05-27,19:18:23,8.8
95-05-27,21:18:23,9.0
95-05-27,23:18:23,9.3
95-05-28,01:18:23,9.3
95-05-28,03:18:23,9.3
95-05-28,05:18:23,9.2
95-05-28,07:18:23,9.3
95-05-28,09:18:23,9.3
95-05-28,11:18:23,10.0
95-05-28,13:18:23,10.0
95-05-28,15:18:23,9.6
95-05-28,17:18:23,9.6
95-05-28,19:18:23,9.9
95-05-28,21:18:23,10.0
95-05-28,23:18:23,9.9
95-05-29,01:18:23,9.9
95-05-29,03:18:23,9.8
95-05-29,05:18:23,9.8
95-05-29,07:18:23,9.6
95-05-29,09:18:23,9.3
95-05-29,11:18:23,9.3
95-05-29,13:18:23,9.3
95-05-29,15:18:23,9.3
95-05-29,17:18:23,9.3
95-05-29,19:18:23,9.2
95-05-29,21:18:23,9.1
95-05-29,23:18:23,8.8
95-05-30,01:18:23,9.0
95-05-30,03:18:23,9.0
95-05-30,05:18:23,9.1
