* ID=Minilog-T
* Serial Number=0616
* Study ID=caribou - bottom
* Start Time=95-05-23 03:16:41
* Finish Time=95-06-07 20:55:40
* Sample Period=02:00:00
* Date(yy-mm-dd),Time(hh:mm:ss),Temp(øC)
95-05-23,03:16:41,12.2
95-05-23,05:16:41,12.2
95-05-23,07:16:41,12.2
95-05-23,09:16:41,12.2
95-05-23,11:16:41,12.2
95-05-23,13:16:41,12.2
95-05-23,15:16:41,12.2
95-05-23,17:16:41,12.2
95-05-23,19:16:41,12.2
95-05-23,21:16:41,12.2
95-05-23,23:16:41,12.2
95-05-24,01:16:41,12.2
95-05-24,03:16:41,12.2
95-05-24,05:16:41,12.2
95-05-24,07:16:41,12.2
95-05-24,09:16:41,12.2
95-05-24,11:16:41,12.2
95-05-24,13:16:41,12.2
95-05-24,15:16:41,12.2
95-05-24,17:16:41,12.2
95-05-24,19:16:41,12.2
95-05-24,21:16:41,12.2
95-05-24,23:16:41,12.2
95-05-25,01:16:41,12.2
95-05-25,03:16:41,12.2
95-05-25,05:16:41,12.2
95-05-25,07:16:41,9.9
95-05-25,09:16:41,6.7
95-05-25,11:16:41,5.6
95-05-25,13:16:41,4.7
95-05-25,15:16:41,4.0
95-05-25,17:16:41,4.9
95-05-25,19:16:41,6.0
95-05-25,21:16:41,5.6
95-05-25,23:16:41,5.6
95-05-26,01:16:41,5.5
95-05-26,03:16:41,6.3
95-05-26,05:16:41,6.3
95-05-26,07:16:41,6.1
95-05-26,09:16:41,5.8
95-05-26,11:16:41,5.4
95-05-26,13:16:41,5.7
95-05-26,15:16:41,5.8
95-05-26,17:16:41,6.0
95-05-26,19:16:41,6.0
95-05-26,21:16:41,5.4
95-05-26,23:16:41,5.4
95-05-27,01:16:41,5.8
95-05-27,03:16:41,5.7
95-05-27,05:16:41,6.0
95-05-27,07:16:41,5.7
95-05-27,09:16:41,5.6
95-05-27,11:16:41,5.3
95-05-27,13:16:41,4.8
95-05-27,15:16:41,4.8
95-05-27,17:16:41,5.1
95-05-27,19:16:41,5.7
95-05-27,21:16:41,5.0
95-05-27,23:16:41,5.0
95-05-28,01:16:41,5.2
95-05-28,03:16:41,6.2
95-05-28,05:16:41,7.3
95-05-28,07:16:41,7.2
95-05-28,09:16:41,5.9
95-05-28,11:16:41,4.6
95-05-28,13:16:41,4.6
95-05-28,15:16:41,4.6
95-05-28,17:16:41,4.7
95-05-28,19:16:41,4.8
95-05-28,21:16:41,5.0
95-05-28,23:16:41,4.6
95-05-29,01:16:41,3.7
95-05-29,03:16:41,4.4
95-05-29,05:16:41,4.8
95-05-29,07:16:41,4.8
95-05-29,09:16:41,4.1
95-05-29,11:16:41,3.8
95-05-29,13:16:41,3.5
95-05-29,15:16:41,3.2
95-05-29,17:16:41,3.3
95-05-29,19:16:41,3.9
95-05-29,21:16:41,3.7
95-05-29,23:16:41,3.5
95-05-30,01:16:41,3.3
95-05-30,03:16:41,3.8
95-05-30,05:16:41,4.8
95-05-30,07:16:41,5.4
95-05-30,09:16:41,5.6
95-05-30,11:16:41,3.8
95-05-30,13:16:41,3.3
95-05-30,15:16:41,3.2
95-05-30,17:16:41,3.7
95-05-30,19:16:41,3.9
95-05-30,21:16:41,4.3
95-05-30,23:16:41,3.9
95-05-31,01:16:41,4.2
95-05-31,03:16:41,5.0
95-05-31,05:16:41,6.6
95-05-31,07:16:41,7.6
95-05-31,09:16:41,7.6
95-05-31,11:16:41,6.0
95-05-31,13:16:41,5.0
95-05-31,15:16:41,4.7
95-05-31,17:16:41,4.6
95-05-31,19:16:41,5.2
95-05-31,21:16:41,5.2
95-05-31,23:16:41,4.9
95-06-01,01:16:41,3.2
95-06-01,03:16:41,3.0
95-06-01,05:16:41,3.6
95-06-01,07:16:41,4.6
95-06-01,09:16:41,5.8
95-06-01,11:16:41,5.0
95-06-01,13:16:41,3.7
95-06-01,15:16:41,3.2
95-06-01,17:16:41,3.4
95-06-01,19:16:41,3.8
95-06-01,21:16:41,3.9
95-06-01,23:16:41,3.8
95-06-02,01:16:41,3.2
95-06-02,03:16:41,2.7
95-06-02,05:16:41,3.8
95-06-02,07:16:41,4.4
95-06-02,09:16:41,5.3
95-06-02,11:16:41,4.8
95-06-02,13:16:41,3.5
95-06-02,15:16:41,3.1
95-06-02,17:16:41,3.2
95-06-02,19:16:41,3.6
95-06-02,21:16:41,3.9
95-06-02,23:16:41,3.6
95-06-03,01:16:41,3.1
95-06-03,03:16:41,2.9
95-06-03,05:16:41,3.5
95-06-03,07:16:41,4.0
95-06-03,09:16:41,5.3
95-06-03,11:16:41,4.7
95-06-03,13:16:41,3.6
95-06-03,15:16:41,3.0
95-06-03,17:16:41,3.2
95-06-03,19:16:41,3.9
95-06-03,21:16:41,4.2
95-06-03,23:16:41,4.4
95-06-04,01:16:41,3.4
95-06-04,03:16:41,3.2
95-06-04,05:16:41,3.5
95-06-04,07:16:41,4.3
95-06-04,09:16:41,5.1
95-06-04,11:16:41,4.8
95-06-04,13:16:41,3.9
95-06-04,15:16:41,3.3
95-06-04,17:16:41,3.0
95-06-04,19:16:41,3.9
95-06-04,21:16:41,4.3
95-06-04,23:16:41,4.6
95-06-05,01:16:41,3.9
95-06-05,03:16:41,3.2
95-06-05,05:16:41,3.2
95-06-05,07:16:41,4.4
95-06-05,09:16:41,4.6
95-06-05,11:16:41,5.2
95-06-05,13:16:41,4.1
95-06-05,15:16:41,3.5
95-06-05,17:16:41,3.2
95-06-05,19:16:41,3.3
95-06-05,21:16:41,4.0
95-06-05,23:16:41,4.3
95-06-06,01:16:41,4.3
95-06-06,03:16:41,3.7
95-06-06,05:16:41,3.3
95-06-06,07:16:41,3.3
95-06-06,09:16:41,3.7
95-06-06,11:16:41,3.8
95-06-06,13:16:41,3.3
95-06-06,15:16:41,3.1
95-06-06,17:16:41,3.0
95-06-06,19:16:41,3.0
95-06-06,21:16:41,3.1
95-06-06,23:16:41,3.6
95-06-07,01:16:41,12.2
95-06-07,03:16:41,12.2
95-06-07,05:16:41,12.2
95-06-07,07:16:41,12.2
95-06-07,09:16:41,12.2
95-06-07,11:16:41,12.2
95-06-07,13:16:41,12.2
95-06-07,15:16:41,12.2
95-06-07,17:16:41,12.2
95-06-07,19:16:41,12.2
