* ID=Minilog-T
* Serial Number=0615
* Study ID=murphy,s pond - surface
* Start Time=95-05-23 03:08:33
* Finish Time=95-06-08 21:40:42
* Sample Period=02:00:00
* Date(yy-mm-dd),Time(hh:mm:ss),Temp(øC)
95-05-23,03:08:33,12.1
95-05-23,05:08:33,12.1
95-05-23,07:08:33,12.1
95-05-23,09:08:33,12.1
95-05-23,11:08:33,12.1
95-05-23,13:08:33,12.1
95-05-23,15:08:33,12.1
95-05-23,17:08:33,12.1
95-05-23,19:08:33,12.1
95-05-23,21:08:33,12.1
95-05-23,23:08:33,12.1
95-05-24,01:08:33,12.1
95-05-24,03:08:33,12.1
95-05-24,05:08:33,12.1
95-05-24,07:08:33,12.1
95-05-24,09:08:33,12.1
95-05-24,11:08:33,12.1
95-05-24,13:08:33,12.1
95-05-24,15:08:33,12.1
95-05-24,17:08:33,12.1
95-05-24,19:08:33,12.1
95-05-24,21:08:33,12.1
95-05-24,23:08:33,12.1
95-05-25,01:08:33,12.1
95-05-25,03:08:33,12.1
95-05-25,05:08:33,11.2
95-05-25,07:08:33,5.4
95-05-25,09:08:33,4.0
95-05-25,11:08:33,2.8
95-05-25,13:08:33,-0.8
95-05-25,15:08:33,-0.1
95-05-25,17:08:33,2.3
95-05-25,19:08:33,5.5
95-05-25,21:08:33,11.8
95-05-25,23:08:33,6.6
95-05-26,01:08:33,6.9
95-05-26,03:08:33,6.6
95-05-26,05:08:33,6.6
95-05-26,07:08:33,6.6
95-05-26,09:08:33,6.7
95-05-26,11:08:33,5.0
95-05-26,13:08:33,4.2
95-05-26,15:08:33,5.8
95-05-26,17:08:33,6.5
95-05-26,19:08:33,6.5
95-05-26,21:08:33,6.7
95-05-26,23:08:33,6.6
95-05-27,01:08:33,5.3
95-05-27,03:08:33,6.3
95-05-27,05:08:33,6.6
95-05-27,07:08:33,5.9
95-05-27,09:08:33,5.6
95-05-27,11:08:33,3.9
95-05-27,13:08:33,3.9
95-05-27,15:08:33,5.6
95-05-27,17:08:33,6.4
95-05-27,19:08:33,6.2
95-05-27,21:08:33,6.8
95-05-27,23:08:33,6.9
95-05-28,01:08:33,5.8
95-05-28,03:08:33,6.4
95-05-28,05:08:33,7.3
95-05-28,07:08:33,6.1
95-05-28,09:08:33,6.8
95-05-28,11:08:33,6.9
95-05-28,13:08:33,7.4
95-05-28,15:08:33,6.9
95-05-28,17:08:33,7.2
95-05-28,19:08:33,7.1
95-05-28,21:08:33,7.3
95-05-28,23:08:33,7.5
95-05-29,01:08:33,7.7
95-05-29,03:08:33,8.0
95-05-29,05:08:33,7.7
95-05-29,07:08:33,7.7
95-05-29,09:08:33,7.4
95-05-29,11:08:33,7.5
95-05-29,13:08:33,7.0
95-05-29,15:08:33,7.5
95-05-29,17:08:33,7.5
95-05-29,19:08:33,7.4
95-05-29,21:08:33,7.5
95-05-29,23:08:33,7.7
95-05-30,01:08:33,7.8
95-05-30,03:08:33,7.7
95-05-30,05:08:33,7.7
95-05-30,07:08:33,7.8
95-05-30,09:08:33,7.5
95-05-30,11:08:33,7.5
95-05-30,13:08:33,7.4
95-05-30,15:08:33,7.4
95-05-30,17:08:33,7.4
95-05-30,19:08:33,7.4
95-05-30,21:08:33,7.5
95-05-30,23:08:33,7.6
95-05-31,01:08:33,7.7
95-05-31,03:08:33,7.6
95-05-31,05:08:33,7.4
95-05-31,07:08:33,7.8
95-05-31,09:08:33,7.5
95-05-31,11:08:33,7.5
95-05-31,13:08:33,6.6
95-05-31,15:08:33,6.7
95-05-31,17:08:33,7.5
95-05-31,19:08:33,7.5
95-05-31,21:08:33,7.5
95-05-31,23:08:33,7.5
95-06-01,01:08:33,7.6
95-06-01,03:08:33,7.5
95-06-01,05:08:33,7.7
95-06-01,07:08:33,7.4
95-06-01,09:08:33,7.4
95-06-01,11:08:33,7.4
95-06-01,13:08:33,7.5
95-06-01,15:08:33,7.6
95-06-01,17:08:33,7.7
95-06-01,19:08:33,7.8
95-06-01,21:08:33,8.0
95-06-01,23:08:33,8.0
95-06-02,01:08:33,8.1
95-06-02,03:08:33,8.2
95-06-02,05:08:33,8.1
95-06-02,07:08:33,8.0
95-06-02,09:08:33,8.7
95-06-02,11:08:33,7.9
95-06-02,13:08:33,8.1
95-06-02,15:08:33,8.3
95-06-02,17:08:33,8.1
95-06-02,19:08:33,8.6
95-06-02,21:08:33,8.3
95-06-02,23:08:33,8.6
95-06-03,01:08:33,8.3
95-06-03,03:08:33,8.5
95-06-03,05:08:33,8.5
95-06-03,07:08:33,8.3
95-06-03,09:08:33,8.6
95-06-03,11:08:33,8.3
95-06-03,13:08:33,8.6
95-06-03,15:08:33,8.5
95-06-03,17:08:33,8.0
95-06-03,19:08:33,8.4
95-06-03,21:08:33,8.5
95-06-03,23:08:33,8.7
95-06-04,01:08:33,8.6
95-06-04,03:08:33,8.8
95-06-04,05:08:33,8.6
95-06-04,07:08:33,8.4
95-06-04,09:08:33,8.5
95-06-04,11:08:33,8.4
95-06-04,13:08:33,8.4
95-06-04,15:08:33,8.2
95-06-04,17:08:33,8.5
95-06-04,19:08:33,8.3
95-06-04,21:08:33,8.1
95-06-04,23:08:33,8.5
95-06-05,01:08:33,8.9
95-06-05,03:08:33,8.9
95-06-05,05:08:33,8.7
95-06-05,07:08:33,8.7
95-06-05,09:08:33,8.3
95-06-05,11:08:33,7.8
95-06-05,13:08:33,5.8
95-06-05,15:08:33,6.8
95-06-05,17:08:33,7.7
95-06-05,19:08:33,7.7
95-06-05,21:08:33,8.7
95-06-05,23:08:33,12.1
95-06-06,01:08:33,12.1
95-06-06,03:08:33,12.1
95-06-06,05:08:33,12.1
95-06-06,07:08:33,12.1
95-06-06,09:08:33,12.1
95-06-06,11:08:33,12.1
95-06-06,13:08:33,12.1
95-06-06,15:08:33,12.1
95-06-06,17:08:33,12.1
95-06-06,19:08:33,12.1
95-06-06,21:08:33,12.1
95-06-06,23:08:33,12.1
95-06-07,01:08:33,12.1
95-06-07,03:08:33,12.1
95-06-07,05:08:33,12.1
95-06-07,07:08:33,12.1
95-06-07,09:08:33,12.1
95-06-07,11:08:33,12.1
95-06-07,13:08:33,12.1
95-06-07,15:08:33,12.1
95-06-07,17:08:33,12.1
95-06-07,19:08:33,12.1
95-06-07,21:08:33,12.1
95-06-07,23:08:33,12.1
95-06-08,01:08:33,12.1
95-06-08,03:08:33,12.1
95-06-08,05:08:33,12.1
95-06-08,07:08:33,12.1
95-06-08,09:08:33,12.1
95-06-08,11:08:33,12.1
95-06-08,13:08:33,12.1
95-06-08,15:08:33,12.1
95-06-08,17:08:33,12.1
