* ID=Minilog-T
* Serial Number=0618
* Study ID=cribben,s pt - bottom
* Start Time=95-05-23 03:13:37
* Finish Time=95-06-08 22:05:16
* Sample Period=02:00:00
* Date(yy-mm-dd),Time(hh:mm:ss),Temp(øC)
95-05-23,03:13:37,11.9
95-05-23,05:13:37,11.9
95-05-23,07:13:37,11.9
95-05-23,09:13:37,11.9
95-05-23,11:13:37,11.9
95-05-23,13:13:37,11.9
95-05-23,15:13:37,11.9
95-05-23,17:13:37,11.9
95-05-23,19:13:37,11.9
95-05-23,21:13:37,11.9
95-05-23,23:13:37,11.9
95-05-24,01:13:37,11.9
95-05-24,03:13:37,11.9
95-05-24,05:13:37,11.9
95-05-24,07:13:37,11.9
95-05-24,09:13:37,11.9
95-05-24,11:13:37,11.9
95-05-24,13:13:37,11.9
95-05-24,15:13:37,11.9
95-05-24,17:13:37,11.9
95-05-24,19:13:37,11.9
95-05-24,21:13:37,11.9
95-05-24,23:13:37,11.9
95-05-25,01:13:37,11.9
95-05-25,03:13:37,11.9
95-05-25,05:13:37,8.8
95-05-25,07:13:37,5.0
95-05-25,09:13:37,3.1
95-05-25,11:13:37,3.4
95-05-25,13:13:37,2.7
95-05-25,15:13:37,-1.0
95-05-25,17:13:37,5.8
95-05-25,19:13:37,5.8
95-05-25,21:13:37,3.5
95-05-25,23:13:37,4.0
95-05-26,01:13:37,4.7
95-05-26,03:13:37,6.1
95-05-26,05:13:37,6.0
95-05-26,07:13:37,5.3
95-05-26,09:13:37,4.8
95-05-26,11:13:37,4.0
95-05-26,13:13:37,3.9
95-05-26,15:13:37,4.0
95-05-26,17:13:37,4.3
95-05-26,19:13:37,4.6
95-05-26,21:13:37,4.2
95-05-26,23:13:37,4.1
95-05-27,01:13:37,3.6
95-05-27,03:13:37,3.7
95-05-27,05:13:37,4.1
95-05-27,07:13:37,3.7
95-05-27,09:13:37,3.8
95-05-27,11:13:37,5.7
95-05-27,13:13:37,5.2
95-05-27,15:13:37,3.7
95-05-27,17:13:37,4.3
95-05-27,19:13:37,5.1
95-05-27,21:13:37,7.2
95-05-27,23:13:37,4.2
95-05-28,01:13:37,3.8
95-05-28,03:13:37,6.2
95-05-28,05:13:37,7.2
95-05-28,07:13:37,6.9
95-05-28,09:13:37,3.8
95-05-28,11:13:37,3.5
