* ID=Minilog-T
* Serial Number=0617
* Study ID=murphy,s pond - bottom
* Start Time=95-05-23 03:09:28
* Finish Time=95-06-08 21:58:57
* Sample Period=02:00:00
* Date(yy-mm-dd),Time(hh:mm:ss),Temp(øC)
95-05-23,03:09:28,12.1
95-05-23,05:09:28,12.1
95-05-23,07:09:28,12.1
95-05-23,09:09:28,12.1
95-05-23,11:09:28,12.1
95-05-23,13:09:28,12.1
95-05-23,15:09:28,12.1
95-05-23,17:09:28,12.1
95-05-23,19:09:28,12.1
95-05-23,21:09:28,12.1
95-05-23,23:09:28,12.1
95-05-24,01:09:28,12.1
95-05-24,03:09:28,12.1
95-05-24,05:09:28,12.1
95-05-24,07:09:28,12.1
95-05-24,09:09:28,12.1
95-05-24,11:09:28,12.1
95-05-24,13:09:28,12.1
95-05-24,15:09:28,12.1
95-05-24,17:09:28,12.1
95-05-24,19:09:28,12.1
95-05-24,21:09:28,12.1
95-05-24,23:09:28,12.1
95-05-25,01:09:28,12.1
95-05-25,03:09:28,12.1
95-05-25,05:09:28,9.9
95-05-25,07:09:28,5.2
95-05-25,09:09:28,4.1
95-05-25,11:09:28,3.2
95-05-25,13:09:28,0.1
95-05-25,15:09:28,0.5
95-05-25,17:09:28,2.5
95-05-25,19:09:28,5.1
95-05-25,21:09:28,5.5
95-05-25,23:09:28,5.1
95-05-26,01:09:28,1.9
95-05-26,03:09:28,0.5
95-05-26,05:09:28,0.5
95-05-26,07:09:28,0.7
95-05-26,09:09:28,1.5
95-05-26,11:09:28,2.3
95-05-26,13:09:28,2.8
95-05-26,15:09:28,4.1
95-05-26,17:09:28,2.8
95-05-26,19:09:28,0.6
95-05-26,21:09:28,0.1
95-05-26,23:09:28,0.6
95-05-27,01:09:28,2.0
95-05-27,03:09:28,2.9
95-05-27,05:09:28,2.5
95-05-27,07:09:28,1.6
95-05-27,09:09:28,0.8
95-05-27,11:09:28,1.0
95-05-27,13:09:28,0.4
95-05-27,15:09:28,1.3
95-05-27,17:09:28,1.7
95-05-27,19:09:28,1.8
95-05-27,21:09:28,1.8
95-05-27,23:09:28,2.6
95-05-28,01:09:28,2.3
95-05-28,03:09:28,2.9
95-05-28,05:09:28,3.2
95-05-28,07:09:28,1.2
95-05-28,09:09:28,2.0
95-05-28,11:09:28,2.6
95-05-28,13:09:28,3.2
95-05-28,15:09:28,2.1
95-05-28,17:09:28,2.7
95-05-28,19:09:28,0.9
95-05-28,21:09:28,0.9
95-05-28,23:09:28,3.9
95-05-29,01:09:28,3.2
95-05-29,03:09:28,3.7
95-05-29,05:09:28,4.3
95-05-29,07:09:28,2.9
95-05-29,09:09:28,1.7
95-05-29,11:09:28,2.8
95-05-29,13:09:28,2.5
95-05-29,15:09:28,5.7
95-05-29,17:09:28,6.4
95-05-29,19:09:28,6.5
95-05-29,21:09:28,6.4
95-05-29,23:09:28,6.7
95-05-30,01:09:28,5.9
95-05-30,03:09:28,5.0
95-05-30,05:09:28,4.6
95-05-30,07:09:28,4.4
95-05-30,09:09:28,7.0
95-05-30,11:09:28,7.2
95-05-30,13:09:28,5.5
95-05-30,15:09:28,3.3
95-05-30,17:09:28,2.8
95-05-30,19:09:28,2.2
95-05-30,21:09:28,2.9
95-05-30,23:09:28,2.9
95-05-31,01:09:28,5.3
95-05-31,03:09:28,3.5
95-05-31,05:09:28,1.5
95-05-31,07:09:28,1.6
95-05-31,09:09:28,2.1
95-05-31,11:09:28,1.3
95-05-31,13:09:28,1.5
95-05-31,15:09:28,3.2
95-05-31,17:09:28,4.1
95-05-31,19:09:28,2.4
95-05-31,21:09:28,1.4
95-05-31,23:09:28,1.8
95-06-01,01:09:28,2.3
95-06-01,03:09:28,3.0
95-06-01,05:09:28,2.2
95-06-01,07:09:28,3.4
95-06-01,09:09:28,5.8
95-06-01,11:09:28,6.5
95-06-01,13:09:28,7.0
95-06-01,15:09:28,7.2
95-06-01,17:09:28,7.2
95-06-01,19:09:28,4.0
95-06-01,21:09:28,5.3
95-06-01,23:09:28,5.9
95-06-02,01:09:28,7.2
95-06-02,03:09:28,5.1
95-06-02,05:09:28,6.4
95-06-02,07:09:28,7.2
95-06-02,09:09:28,3.5
95-06-02,11:09:28,3.0
95-06-02,13:09:28,1.9
95-06-02,15:09:28,4.1
95-06-02,17:09:28,3.4
95-06-02,19:09:28,4.3
95-06-02,21:09:28,2.0
95-06-02,23:09:28,3.6
95-06-03,01:09:28,4.4
95-06-03,03:09:28,3.9
95-06-03,05:09:28,4.7
95-06-03,07:09:28,3.6
95-06-03,09:09:28,5.1
95-06-03,11:09:28,5.0
95-06-03,13:09:28,4.1
95-06-03,15:09:28,3.9
95-06-03,17:09:28,4.7
95-06-03,19:09:28,3.4
95-06-03,21:09:28,4.1
95-06-03,23:09:28,2.6
95-06-04,01:09:28,2.0
95-06-04,03:09:28,3.4
95-06-04,05:09:28,4.1
95-06-04,07:09:28,5.5
95-06-04,09:09:28,4.6
95-06-04,11:09:28,2.6
95-06-04,13:09:28,1.0
95-06-04,15:09:28,2.0
95-06-04,17:09:28,4.0
95-06-04,19:09:28,5.0
95-06-04,21:09:28,4.0
95-06-04,23:09:28,2.7
95-06-05,01:09:28,2.4
95-06-05,03:09:28,2.1
95-06-05,05:09:28,2.1
95-06-05,07:09:28,2.7
95-06-05,09:09:28,2.1
95-06-05,11:09:28,1.4
95-06-05,13:09:28,1.7
95-06-05,15:09:28,1.6
95-06-05,17:09:28,5.5
95-06-05,19:09:28,2.1
95-06-05,21:09:28,2.0
95-06-05,23:09:28,1.8
95-06-06,01:09:28,12.1
95-06-06,03:09:28,12.1
95-06-06,05:09:28,12.1
95-06-06,07:09:28,12.1
95-06-06,09:09:28,12.1
95-06-06,11:09:28,12.1
95-06-06,13:09:28,12.1
95-06-06,15:09:28,12.1
95-06-06,17:09:28,12.1
95-06-06,19:09:28,12.1
95-06-06,21:09:28,12.1
95-06-06,23:09:28,12.1
95-06-07,01:09:28,12.1
95-06-07,03:09:28,12.1
95-06-07,05:09:28,12.1
95-06-07,07:09:28,12.1
95-06-07,09:09:28,12.1
95-06-07,11:09:28,12.1
95-06-07,13:09:28,12.1
95-06-07,15:09:28,12.1
95-06-07,17:09:28,12.1
95-06-07,19:09:28,12.1
95-06-07,21:09:28,12.1
95-06-07,23:09:28,12.1
95-06-08,01:09:28,12.1
95-06-08,03:09:28,12.1
95-06-08,05:09:28,12.1
95-06-08,07:09:28,12.1
95-06-08,09:09:28,12.1
95-06-08,11:09:28,12.1
95-06-08,13:09:28,12.1
95-06-08,15:09:28,12.1
95-06-08,17:09:28,12.1
95-06-08,19:09:28,12.1
95-06-08,21:09:28,12.1
