* ID=Minilog-T
* Serial Number=0613
* Study ID=margaree - surface
* Start Time=95-05-23 03:05:27
* Finish Time=95-06-08 20:42:16
* Sample Period=02:00:00
* Date(yy-mm-dd),Time(hh:mm:ss),Temp(øC)
95-05-23,03:05:27,12.1
95-05-23,05:05:27,12.1
95-05-23,07:05:27,12.1
95-05-23,09:05:27,12.1
95-05-23,11:05:27,12.1
95-05-23,13:05:27,12.1
95-05-23,15:05:27,12.1
95-05-23,17:05:27,12.1
95-05-23,19:05:27,12.1
95-05-23,21:05:27,12.1
95-05-23,23:05:27,12.1
95-05-24,01:05:27,12.1
95-05-24,03:05:27,12.1
95-05-24,05:05:27,12.1
95-05-24,07:05:27,12.1
95-05-24,09:05:27,12.1
95-05-24,11:05:27,12.1
95-05-24,13:05:27,12.1
95-05-24,15:05:27,12.1
95-05-24,17:05:27,12.1
95-05-24,19:05:27,12.1
95-05-24,21:05:27,12.1
95-05-24,23:05:27,12.1
95-05-25,01:05:27,12.1
95-05-25,03:05:27,12.1
95-05-25,05:05:27,12.1
95-05-25,07:05:27,5.3
95-05-25,09:05:27,4.8
95-05-25,11:05:27,4.4
95-05-25,13:05:27,0.6
95-05-25,15:05:27,-0.4
95-05-25,17:05:27,5.9
95-05-25,19:05:27,5.9
95-05-25,21:05:27,5.9
95-05-25,23:05:27,5.7
95-05-26,01:05:27,5.9
95-05-26,03:05:27,5.9
95-05-26,05:05:27,5.5
95-05-26,07:05:27,5.3
95-05-26,09:05:27,5.3
95-05-26,11:05:27,5.8
95-05-26,13:05:27,5.5
95-05-26,15:05:27,6.0
95-05-26,17:05:27,5.9
95-05-26,19:05:27,5.4
95-05-26,21:05:27,5.8
95-05-26,23:05:27,5.4
95-05-27,01:05:27,6.6
95-05-27,03:05:27,6.6
95-05-27,05:05:27,6.8
95-05-27,07:05:27,6.4
95-05-27,09:05:27,5.6
95-05-27,11:05:27,5.3
95-05-27,13:05:27,5.2
95-05-27,15:05:27,5.2
95-05-27,17:05:27,5.3
95-05-27,19:05:27,5.6
95-05-27,21:05:27,6.0
95-05-27,23:05:27,6.1
95-05-28,01:05:27,6.3
95-05-28,03:05:27,6.5
95-05-28,05:05:27,6.2
95-05-28,07:05:27,6.3
95-05-28,09:05:27,6.2
95-05-28,11:05:27,8.1
95-05-28,13:05:27,7.6
95-05-28,15:05:27,6.7
95-05-28,17:05:27,6.5
95-05-28,19:05:27,6.0
95-05-28,21:05:27,5.9
95-05-28,23:05:27,6.1
95-05-29,01:05:27,6.7
95-05-29,03:05:27,7.0
95-05-29,05:05:27,6.8
95-05-29,07:05:27,7.3
95-05-29,09:05:27,7.2
95-05-29,11:05:27,7.1
95-05-29,13:05:27,6.3
95-05-29,15:05:27,5.6
95-05-29,17:05:27,5.8
95-05-29,19:05:27,6.1
95-05-29,21:05:27,5.9
95-05-29,23:05:27,6.1
95-05-30,01:05:27,6.4
95-05-30,03:05:27,6.8
95-05-30,05:05:27,6.9
95-05-30,07:05:27,6.7
95-05-30,09:05:27,6.7
95-05-30,11:05:27,6.6
95-05-30,13:05:27,6.6
95-05-30,15:05:27,6.6
95-05-30,17:05:27,6.5
