"","date","time","hydrophone","value","signalpower"
"7369","2023-08-02","08:05:41:00",0,1.725,117
"7370","2023-08-02","08:05:46:00",1,1.445,66
"7371","2023-08-02","08:05:46:00",0,1.95,120
"7372","2023-08-02","08:05:51:00",1,1.585,74
"7373","2023-08-02","08:05:51:00",0,1.105,120
"7374","2023-08-02","08:05:56:00",1,1.585,72
"7375","2023-08-02","08:05:57:00",0,1.605,120
"7376","2023-08-02","08:06:02:00",1,1.51,79
"7377","2023-08-02","08:06:02:00",0,1.51,118
"7378","2023-08-02","08:06:07:00",1,1.525,77
"7379","2023-08-02","08:06:07:00",0,1.51,118
"7380","2023-08-02","08:06:12:00",1,1.375,76
"7381","2023-08-02","08:06:12:00",0,1.39,116
"7382","2023-08-02","08:06:17:00",1,1.21,73
"7383","2023-08-02","08:06:18:00",0,1.21,112
"7384","2023-08-02","08:06:23:00",1,1.135,76
"7385","2023-08-02","08:06:23:00",0,1.135,115
"7386","2023-08-02","08:06:28:00",1,1.305,75
"7387","2023-08-02","08:06:28:00",0,1.265,115
"7388","2023-08-02","08:06:33:00",1,1.41,73
"7389","2023-08-02","08:06:33:00",0,1.455,116
"7390","2023-08-02","08:06:39:00",1,1.565,76
"7391","2023-08-02","08:06:39:00",0,1.55,120
"7392","2023-08-02","08:06:45:00",0,25.275,116
"7393","2023-08-02","08:06:45:00",1,25.305,70
"7394","2023-08-02","08:06:51:00",1,3.65,72
"7395","2023-08-02","08:06:51:00",0,3.67,111
"7396","2023-08-02","08:06:57:00",0,12.26,109
"7397","2023-08-02","08:06:57:00",1,12.25,72
"7398","2023-08-02","08:07:03:00",1,13.765,73
"7399","2023-08-02","08:07:03:00",0,13.775,106
"7400","2023-08-02","08:07:09:00",1,21.425,73
"7401","2023-08-02","08:07:10:00",0,21.395,106
"7402","2023-08-02","08:11:02:00",0,6.305,105
"7403","2023-08-02","08:11:07:00",0,6.41,99
"7404","2023-08-02","08:11:13:00",1,6.12,56
"7405","2023-08-02","08:11:13:00",0,6.37,100
"7406","2023-08-02","08:11:19:00",1,6.135,62
"7407","2023-08-02","08:11:19:00",0,6.215,92
"7408","2023-08-02","08:11:24:00",1,6.26,66
"7409","2023-08-02","08:11:24:00",0,5.965,105
"7410","2023-08-02","08:11:30:00",1,5.745,65
"7411","2023-08-02","08:11:30:00",0,5.92,95
"7412","2023-08-02","08:11:35:00",0,6.13,92
"7413","2023-08-02","08:11:41:00",0,5.62,98
"7414","2023-08-02","08:11:46:00",0,5.835,94
"7415","2023-08-02","08:11:52:00",0,6.115,99
"7416","2023-08-02","08:11:57:00",0,6.07,86
"7417","2023-08-02","08:12:03:00",0,6.07,102
"7418","2023-08-02","08:12:09:00",1,6.65,60
"7419","2023-08-02","08:12:09:00",0,6.595,98
"7420","2023-08-02","08:12:14:00",1,6.975,62
"7421","2023-08-02","08:12:14:00",0,7.11,98
"7422","2023-08-02","08:12:20:00",1,7.95,53
"7423","2023-08-02","08:12:20:00",0,7.49,99
"7424","2023-08-02","08:12:26:00",0,8.455,97
"7425","2023-08-02","08:12:32:00",0,9.52,95
"7426","2023-08-02","08:12:37:00",1,9.99,57
"7427","2023-08-02","08:12:37:00",0,9.96,98
"7428","2023-08-02","08:12:43:00",1,10.77,55
"7429","2023-08-02","08:12:43:00",0,10.63,99
"7430","2023-08-02","08:12:49:00",1,10.01,58
"7431","2023-08-02","08:12:49:00",0,10.17,100
"7432","2023-08-02","08:12:55:00",1,9.995,56
"7433","2023-08-02","08:12:55:00",0,9.84,98
"7434","2023-08-02","08:13:01:00",0,9.445,97
"7435","2023-08-02","08:13:07:00",0,9.265,99
"7436","2023-08-02","08:13:12:00",1,9.365,54
"7437","2023-08-02","08:13:12:00",0,9.34,96
"7438","2023-08-02","08:13:18:00",1,9.455,57
"7439","2023-08-02","08:13:18:00",0,9.625,101
"7440","2023-08-02","08:13:24:00",1,10.42,52
"7441","2023-08-02","08:13:24:00",0,10.16,95
"7442","2023-08-02","08:13:30:00",0,10.535,94
"7443","2023-08-02","08:13:36:00",0,10.34,101
"7444","2023-08-02","08:13:41:00",1,9.075,61
"7445","2023-08-02","08:13:41:00",0,9.05,103
"7446","2023-08-02","08:13:47:00",1,8.015,62
"7447","2023-08-02","08:13:47:00",0,8.1,104
"7448","2023-08-02","08:13:53:00",1,8.915,54
