FileName: C:\ZONE12~1\GP094F.TXT
Local Time: Sat Jul 14 17:34:34 2007

Ship: Trawl survey southern Gulf Trip: GP094F Tow: tow 13
Comments: 
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread      Depth 
070714  203436  47   3.2537 N  62  29.3086 W   2.4        2.5*       3.1*       3.1*       0.0 
070714  203437  47   3.2542 N  62  29.3092 W   2.4        2.5        3.1        3.1        0.0 
070714  203438  47   3.2546 N  62  29.3099 W   2.4        2.5        3.1        2.8*       0.0 
070714  203439  47   3.2550 N  62  29.3106 W   2.4        2.5        3.1        2.8        0.0 
070714  203440  47   3.2555 N  62  29.3113 W   2.3        2.5        3.1        2.8        0.0 
070714  203441  47   3.2559 N  62  29.3119 W   2.4        2.5        3.1        2.8        0.0 
070714  203442  47   3.2563 N  62  29.3125 W   2.3        2.5        3.1        2.8        0.0 
070714  203443  47   3.2568 N  62  29.3131 W   2.3        2.5        3.1        2.6*       0.0 
070714  203444  47   3.2572 N  62  29.3138 W   2.3        2.5        3.1        2.6        0.0 
070714  203445  47   3.2576 N  62  29.3145 W   2.3        2.5        3.1        2.6        0.0 
070714  203446  47   3.2580 N  62  29.3152 W   2.3        2.5        3.1        2.6        0.0 
070714  203447  47   3.2584 N  62  29.3158 W   2.3        2.5        3.1        2.6        0.0 
070714  203448  47   3.2588 N  62  29.3165 W   2.3        2.5       12.4*       2.6        0.0 
070714  203449  47   3.2592 N  62  29.3172 W   2.3        2.5       12.4        2.8*       0.0 
070714  203450  47   3.2596 N  62  29.3179 W   2.3        2.5       12.4        2.8        0.0 
070714  203451  47   3.2600 N  62  29.3185 W   2.3        2.5       12.4        2.8        0.0 
070714  203452  47   3.2605 N  62  29.3193 W   2.3        2.5       12.4        2.8        7.9*
070714  203453  47   3.2610 N  62  29.3202 W   2.4        2.5       12.4        2.8        7.9 
070714  203454  47   3.2616 N  62  29.3211 W   2.5        2.5        3.7*       2.6*       7.9 
070714  203455  47   3.2622 N  62  29.3221 W   2.7        2.5        3.7        2.6        7.9 
070714  203456  47   3.2629 N  62  29.3232 W   2.8        2.5        3.7        2.6        7.9 
070714  203457  47   3.2637 N  62  29.3245 W   3.0        2.5        3.7        2.6        7.9 
070714  203458  47   3.2645 N  62  29.3260 W   3.3        2.5        3.7        2.6        7.9 
070714  203459  47   3.2654 N  62  29.3274 W   3.5        2.5        3.7        4.4*       7.9 
070714  203500  47   3.2664 N  62  29.3291 W   3.8        2.5        3.7        4.4        7.9 
070714  203501  47   3.2673 N  62  29.3307 W   4.0        2.5        3.7        4.4        7.9 
070714  203502  47   3.2683 N  62  29.3324 W   4.3        2.5        3.7        4.4        7.9 
070714  203503  47   3.2694 N  62  29.3341 W   4.5        2.5        3.7        4.4        7.9 
070714  203504  47   3.2704 N  62  29.3360 W   4.7        2.5        3.7        4.4        7.9 
070714  203505  47   3.2715 N  62  29.3378 W   4.9        2.5        3.7        4.4        7.9 
070714  203506  47   3.2726 N  62  29.3396 W   5.1        2.5        3.7        4.4        7.9 
070714  203507  47   3.2738 N  62  29.3416 W   5.3        2.5        3.7        4.4        7.9 
070714  203508  47   3.2750 N  62  29.3435 W   5.5        2.5        3.7        4.4       37.4*
070714  203509  47   3.2762 N  62  29.3455 W   5.6        2.5        3.7        4.4       37.4 
070714  203510  47   3.2774 N  62  29.3475 W   5.8        2.5        3.7        4.4       37.4 
070714  203511  47   3.2787 N  62  29.3495 W   5.9        2.5        3.7        4.4       37.4 
070714  203512  47   3.2798 N  62  29.3515 W   6.0        2.5        3.7        4.4       37.4 
070714  203513  47   3.2810 N  62  29.3536 W   6.1        2.5        3.7        4.4       37.4 
070714  203514  47   3.2823 N  62  29.3557 W   6.2        2.5        3.7        4.4       37.4 
070714  203515  47   3.2835 N  62  29.3578 W   6.3        2.5        3.7        4.4       37.4 
070714  203516  47   3.2847 N  62  29.3599 W   6.4        2.5        3.7        4.4       37.4 
070714  203517  47   3.2860 N  62  29.3619 W   6.4        2.5        3.7        4.4       37.4 
070714  203518  47   3.2872 N  62  29.3641 W   6.5        2.5        3.7        4.4       37.4 
070714  203519  47   3.2884 N  62  29.3663 W   6.5        2.5        3.7        4.4       37.4 
070714  203520  47   3.2897 N  62  29.3684 W   6.6        2.5        3.7        4.4       37.4 
070714  203521  47   3.2909 N  62  29.3705 W   6.6        2.5        3.7        4.4       37.4 
070714  203522  47   3.2921 N  62  29.3728 W   6.7        2.5        3.7        4.4       37.4 
070714  203523  47   3.2933 N  62  29.3750 W   6.7        2.5        3.7        4.4       37.4 
070714  203524  47   3.2944 N  62  29.3772 W   6.7        2.5        3.7        4.4       37.4 
070714  203525  47   3.2956 N  62  29.3794 W   6.8        2.5        3.7        4.4       37.4 
070714  203526  47   3.2967 N  62  29.3817 W   6.8        2.5        3.7        4.4       37.4 
070714  203527  47   3.2978 N  62  29.3840 W   6.8        2.5        3.7        4.4       37.4 
070714  203528  47   3.2989 N  62  29.3862 W   6.8        2.5        3.7        4.4       37.4 
070714  203529  47   3.3001 N  62  29.3886 W   6.9        2.5        3.7        4.4       37.4 
070714  203530  47   3.3011 N  62  29.3908 W   6.8        2.5        3.7        4.4       37.4 
070714  203531  47   3.3022 N  62  29.3931 W   6.8        2.5        3.7        4.4       37.4 
070714  203532  47   3.3033 N  62  29.3955 W   6.9        2.5        3.7        4.4       37.4 
070714  203533  47   3.3043 N  62  29.3978 W   6.9        2.5        3.7        4.4       37.4 
070714  203534  47   3.3054 N  62  29.4002 W   6.9        2.5        3.7        4.4       37.4 
070714  203535  47   3.3063 N  62  29.4027 W   6.9        2.5        3.7        4.4       37.4 
070714  203536  47   3.3072 N  62  29.4049 W   6.9        2.5        3.7        4.4       37.4 
070714  203537  47   3.3080 N  62  29.4073 W   6.9        2.5        3.7        4.4       37.4 
070714  203538  47   3.3090 N  62  29.4096 W   6.9        2.5        3.7        4.4       37.4 
070714  203539  47   3.3098 N  62  29.4120 W   6.9        2.5        3.7        4.4       37.4 
070714  203540  47   3.3108 N  62  29.4144 W   6.9        2.5        3.7        4.4       37.4 
070714  203541  47   3.3117 N  62  29.4168 W   6.9        2.5        3.7        4.4       37.4 
070714  203542  47   3.3126 N  62  29.4192 W   6.9        2.5        3.7        4.4       37.4 
070714  203543  47   3.3135 N  62  29.4217 W   7.0        2.5        3.7        4.4       37.4 
