FileName: C:\ZONE12~1\GP096F.TXT
Local Time: Sat Jul 14 12:43:39 2007

Ship: Trawl survey southern Gulf Trip: GP096F Tow: tow 8
Comments: 
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread      Depth 
070714  154451  47  10.8291 N  62  29.5068 W   7.0        5.6        2.7        3.0      173.3 
070714  154452  47  10.8312 N  62  29.5069 W   7.0        5.6        2.7        3.0      173.3 
070714  154453  47  10.8332 N  62  29.5071 W   7.1        5.6        2.7        3.0      173.3 
070714  154454  47  10.8352 N  62  29.5073 W   7.1        5.6        2.7        3.0      173.3 
070714  154455  47  10.8373 N  62  29.5075 W   7.2        5.6        2.7        3.0      173.3 
070714  154456  47  10.8394 N  62  29.5077 W   7.3        5.6        2.7        3.0      173.3 
070714  154457  47  10.8415 N  62  29.5079 W   7.3        5.6        2.7        3.0      173.3 
070714  154458  47  10.8436 N  62  29.5081 W   7.4        5.6        2.7        3.0      173.3 
070714  154459  47  10.8456 N  62  29.5085 W   7.4        5.6        2.7        3.0      173.3 
070714  154500  47  10.8477 N  62  29.5088 W   7.4        5.6        2.7        3.0      173.3 
070714  154501  47  10.8497 N  62  29.5092 W   7.4        5.6        2.7        3.0      173.3 
070714  154502  47  10.8518 N  62  29.5094 W   7.4        5.6        2.7        3.0      173.3 
070714  154503  47  10.8538 N  62  29.5097 W   7.4        5.6        2.7        3.0      173.3 
070714  154504  47  10.8560 N  62  29.5100 W   7.5        5.6        2.7        3.0      173.3 
070714  154505  47  10.8581 N  62  29.5101 W   7.5        5.6        2.7        3.0      173.3 
070714  154506  47  10.8603 N  62  29.5104 W   7.5        5.6        2.7        3.0      173.3 
070714  154507  47  10.8624 N  62  29.5106 W   7.5        5.6        2.7        3.0      173.3 
070714  154508  47  10.8644 N  62  29.5109 W   7.5        5.6        2.7        3.0      173.3 
070714  154509  47  10.8665 N  62  29.5113 W   7.5        5.6        2.7        3.0      173.3 
070714  154510  47  10.8685 N  62  29.5117 W   7.5        5.6        2.7        3.0      173.3 
070714  154511  47  10.8706 N  62  29.5122 W   7.5        5.6        2.7        3.0      173.3 
070714  154512  47  10.8727 N  62  29.5125 W   7.6        5.6        2.7        3.0      173.3 
070714  154513  47  10.8748 N  62  29.5127 W   7.6        5.6        2.7        3.0      173.3 
070714  154514  47  10.8769 N  62  29.5129 W   7.6        5.6        2.7        3.0      173.3 
070714  154515  47  10.8790 N  62  29.5133 W   7.6        5.6        2.7        3.0      173.3 
070714  154516  47  10.8811 N  62  29.5136 W   7.6        5.6        2.7        3.0      173.3 
070714  154517  47  10.8832 N  62  29.5138 W   7.6        5.6        2.7        3.0      173.3 
070714  154518  47  10.8853 N  62  29.5141 W   7.6        5.6        2.7        3.0      173.3 
070714  154519  47  10.8874 N  62  29.5146 W   7.6        5.6        2.7        3.0      173.3 
070714  154520  47  10.8894 N  62  29.5151 W   7.5        5.6        2.7        3.0      173.3 
070714  154521  47  10.8916 N  62  29.5153 W   7.6        5.6        2.7        3.0      173.3 
070714  154522  47  10.8937 N  62  29.5157 W   7.6        5.6        2.7        3.0      173.3 
070714  154523  47  10.8958 N  62  29.5160 W   7.6        5.6        2.7        3.0      173.3 
070714  154524  47  10.8979 N  62  29.5163 W   7.6        5.6        2.7        3.0      173.3 
070714  154525  47  10.9000 N  62  29.5167 W   7.6        5.6        2.7        3.0      173.3 
070714  154526  47  10.9020 N  62  29.5172 W   7.6        5.6        2.7        3.0      173.3 
070714  154527  47  10.9041 N  62  29.5176 W   7.6        5.6        2.7        3.0      173.3 
070714  154528  47  10.9062 N  62  29.5179 W   7.6        5.6        2.7        3.0      173.3 
070714  154529  47  10.9083 N  62  29.5181 W   7.6        5.6        2.7        3.0      173.3 
070714  154530  47  10.9105 N  62  29.5184 W   7.6        5.6        2.7        3.0      173.3 
070714  154531  47  10.9126 N  62  29.5187 W   7.7        5.6        2.7        3.0      173.3 
070714  154532  47  10.9148 N  62  29.5190 W   7.7        5.6        2.7        3.0      173.3 
070714  154533  47  10.9170 N  62  29.5193 W   7.7        5.6        2.7        3.0      173.3 
070714  154534  47  10.9192 N  62  29.5195 W   7.7        5.6        2.7        3.0      173.3 
070714  154535  47  10.9213 N  62  29.5197 W   7.7        5.6        2.7        3.0      173.3 
070714  154536  47  10.9234 N  62  29.5200 W   7.7        5.6        2.7        3.0      173.3 
070714  154537  47  10.9255 N  62  29.5205 W   7.7        5.6        2.7        3.0      173.3 
070714  154538  47  10.9276 N  62  29.5209 W   7.7        5.6        2.7        3.0      173.3 
070714  154539  47  10.9298 N  62  29.5212 W   7.7        5.6        2.7        3.0      173.3 
070714  154540  47  10.9319 N  62  29.5216 W   7.7        5.6        2.7        3.0      173.3 
070714  154541  47  10.9341 N  62  29.5220 W   7.7        5.6        2.7        3.0      173.3 
070714  154542  47  10.9362 N  62  29.5223 W   7.7        5.6        2.7        3.0      173.3 
070714  154543  47  10.9384 N  62  29.5227 W   7.7        5.6        2.7        3.0      173.3 
070714  154544  47  10.9404 N  62  29.5231 W   7.7        5.6        2.7        3.0      173.3 
070714  154545  47  10.9425 N  62  29.5235 W   7.7        5.6        2.7        3.0      173.3 
070714  154546  47  10.9447 N  62  29.5238 W   7.7        5.6        2.7        3.0      173.3 
070714  154547  47  10.9468 N  62  29.5241 W   7.7        5.6        2.7        3.0      173.3 
070714  154548  47  10.9489 N  62  29.5244 W   7.7        5.6        2.7        3.0      173.3 
070714  154549  47  10.9511 N  62  29.5247 W   7.7        5.6        2.7        3.0      173.3 
070714  154550  47  10.9533 N  62  29.5250 W   7.7        5.6        2.7        3.0      173.3 
070714  154551  47  10.9554 N  62  29.5253 W   7.7        5.6        2.7        3.0      173.3 
070714  154552  47  10.9575 N  62  29.5256 W   7.7        5.6        2.7        3.0      173.3 
070714  154553  47  10.9594 N  62  29.5260 W   7.6        5.6        2.7        3.0      173.3 
070714  154554  47  10.9613 N  62  29.5264 W   7.5        5.6        2.7        3.0      173.3 
070714  154555  47  10.9632 N  62  29.5267 W   7.4        5.6        2.7        3.0      173.3 
070714  154556  47  10.9651 N  62  29.5270 W   7.3        5.6        2.7        3.0      173.3 
070714  154557  47  10.9670 N  62  29.5272 W   7.2        5.6        2.7        3.0      173.3 
070714  154558  47  10.9689 N  62  29.5273 W   7.2        5.6        2.7        3.0      173.3 
070714  154559  47  10.9707 N  62  29.5274 W   7.1        5.6        2.7        3.0      173.3 
070714  154600  47  10.9725 N  62  29.5277 W   7.0        5.6        2.7        3.0      173.3 
070714  154601  47  10.9742 N  62  29.5281 W   6.9        5.6        2.7        3.0      173.3 
070714  154602  47  10.9760 N  62  29.5283 W   6.8        5.6        2.7        3.0      173.3 
070714  154603  47  10.9777 N  62  29.5285 W   6.7        5.6        2.7        3.0      173.3 
070714  154604  47  10.9795 N  62  29.5287 W   6.6        5.6        2.7        3.0       44.9*
070714  154605  47  10.9812 N  62  29.5291 W   6.6        5.6        2.7        3.0       44.9 
070714  154606  47  10.9829 N  62  29.5294 W   6.5        5.6        2.7        3.0       44.9 
070714  154607  47  10.9846 N  62  29.5295 W   6.4        5.6        2.7        6.4*      44.9 
070714  154608  47  10.9862 N  62  29.5297 W   6.4        5.6        2.7        6.4       44.9 
070714  154609  47  10.9879 N  62  29.5299 W   6.3        5.6        2.7        6.4       44.9 
070714  154610  47  10.9896 N  62  29.5303 W   6.3        5.6        2.7        6.4       44.9 
070714  154611  47  10.9912 N  62  29.5306 W   6.2        5.6        2.7        6.4       44.9 
070714  154612  47  10.9929 N  62  29.5309 W   6.2        5.6        2.7        6.6*      44.9 
070714  154613  47  10.9946 N  62  29.5311 W   6.2        5.6        2.7        6.6       44.9 
070714  154614  47  10.9962 N  62  29.5313 W   6.2        5.6        2.7        6.6       44.9 
070714  154615  47  10.9979 N  62  29.5316 W   6.2        5.6        2.7        6.6       44.9 
070714  154616  47  10.9995 N  62  29.5320 W   6.1        5.6        2.7        6.6       44.9 
070714  154617  47  11.0012 N  62  29.5322 W   6.1        5.6        2.7        6.6       44.9 
070714  154618  47  11.0029 N  62  29.5325 W   6.1        5.6        2.7        7.1*      44.9 
070714  154619  47  11.0046 N  62  29.5328 W   6.1        5.6        2.7        7.1       44.9 
070714  154620  47  11.0063 N  62  29.5330 W   6.1        5.6        2.7        7.1       29.0*
070714  154621  47  11.0080 N  62  29.5332 W   6.1        5.6        2.7        7.1       29.0 
070714  154622  47  11.0096 N  62  29.5335 W   6.1        5.6        2.7        7.1       29.0 
070714  154623  47  11.0113 N  62  29.5339 W   6.1        5.6        2.7        7.1*      29.0 
070714  154624  47  11.0130 N  62  29.5342 W   6.1        5.6        2.7        7.1       29.0 
070714  154625  47  11.0147 N  62  29.5345 W   6.1        5.6        2.7        7.1       29.9*
070714  154626  47  11.0164 N  62  29.5347 W   6.1        5.6        2.7        7.1       29.9 
070714  154627  47  11.0180 N  62  29.5350 W   6.1        5.6        2.7        7.1       29.9 
070714  154628  47  11.0197 N  62  29.5354 W   6.1        5.6        2.7        7.1*      29.9 
070714  154629  47  11.0214 N  62  29.5357 W   6.1        5.6        2.7        7.1       29.9 
070714  154630  47  11.0231 N  62  29.5358 W   6.1        5.6        2.7        7.1       29.9 
070714  154631  47  11.0248 N  62  29.5360 W   6.1        5.6        2.7        7.1       29.5*
070714  154632  47  11.0266 N  62  29.5363 W   6.1        5.6        2.7        7.1       29.5 
070714  154633  47  11.0283 N  62  29.5366 W   6.1        5.6        2.7        8.9*      29.5 
070714  154634  47  11.0299 N  62  29.5368 W   6.1        5.6        2.7        8.9       29.5 
070714  154635  47  11.0316 N  62  29.5371 W   6.1        5.6        2.7        8.9       29.5 
070714  154636  47  11.0333 N  62  29.5374 W   6.1        5.6        2.7        8.9       34.8*
070714  154637  47  11.0349 N  62  29.5375 W   6.1        5.6        2.7        8.9       34.8 
070714  154638  47  11.0366 N  62  29.5378 W   6.1        5.6        2.7        8.9       34.8 
070714  154639  47  11.0383 N  62  29.5380 W   6.0        5.6        2.7        5.3*      34.8 
070714  154640  47  11.0399 N  62  29.5383 W   6.0        5.6        2.7        5.3       34.8 
070714  154641  47  11.0417 N  62  29.5385 W   6.0        5.6        2.7        5.3       22.4*
070714  154642  47  11.0432 N  62  29.5387 W   6.0        5.6        2.7        5.3       22.4 
070714  154643  47  11.0447 N  62  29.5389 W   5.9        5.6        2.7        5.3       22.4 
070714  154644  47  11.0462 N  62  29.5392 W   5.8        5.6        2.7        6.3*      22.4 
070714  154645  47  11.0475 N  62  29.5394 W   5.6        5.6        2.7        6.3       22.4 
070714  154646  47  11.0488 N  62  29.5395 W   5.5        5.6        2.7        6.3       27.3*
070714  154647  47  11.0500 N  62  29.5398 W   5.3        5.6        2.7        6.3       27.3 
070714  154648  47  11.0511 N  62  29.5400 W   5.1        5.6        2.7        6.3       27.3 
070714  154649  47  11.0522 N  62  29.5401 W   4.9        5.6        2.7        6.9*      27.3 
070714  154650  47  11.0532 N  62  29.5403 W   4.7        5.6        2.7        6.9       27.3 
070714  154651  47  11.0541 N  62  29.5404 W   4.5        5.6        2.7        6.9       27.3 
070714  154652  47  11.0550 N  62  29.5406 W   4.3        5.6        2.7        6.9       31.2*
070714  154653  47  11.0559 N  62  29.5407 W   4.1        5.6        2.7        6.9       31.2 
070714  154654  47  11.0567 N  62  29.5408 W   3.9        5.6        2.7        8.0*      31.2 
070714  154655  47  11.0575 N  62  29.5410 W   3.8        5.6        2.7        8.0       31.2 
070714  154656  47  11.0583 N  62  29.5411 W   3.6        5.6        2.7        8.0       31.2 
070714  154657  47  11.0591 N  62  29.5413 W   3.5        5.6        2.7        8.0       27.7*
