FileName: C:\DOCUME~1\NETMIND\DESKTOP\ZONE12~1\GP353FR.TXT
Local Time: Mon Sep 10 17:16:36 2007

Ship: Trawl survey southern Gulf Trip: GP353Fr Tow: tow 11
Comments: Zone 12 - Île du Prince Édouard
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread      Depth 
070910  201634  46  34.2621 N  62  34.7763 W   8.0       10.0*      11.7*       3.9*     -36.1*
070910  201635  46  34.2602 N  62  34.7773 W   7.9       10.0       11.7        3.9      -36.1 
070910  201636  46  34.2585 N  62  34.7782 W   7.7       10.0       11.7        3.9      -36.1 
070910  201637  46  34.2568 N  62  34.7793 W   7.5       10.0       11.7        3.9      -36.1 
070910  201638  46  34.2552 N  62  34.7803 W   7.3       10.0       11.7        3.9      -36.1 
070910  201639  46  34.2536 N  62  34.7812 W   7.1       10.0       11.7        3.9      -36.1 
070910  201640  46  34.2521 N  62  34.7820 W   6.9        3.2*      11.7        3.9      -36.1 
070910  201641  46  34.2507 N  62  34.7827 W   6.7        3.2       11.7        3.9      -36.1 
070910  201642  46  34.2492 N  62  34.7835 W   6.5        3.2       11.7        3.9      -36.1 
070910  201643  46  34.2479 N  62  34.7842 W   6.3        3.2       11.7        3.9      -36.1 
070910  201644  46  34.2465 N  62  34.7849 W   6.1        3.2       11.7        3.9      -36.1 
070910  201645  46  34.2452 N  62  34.7855 W   5.9        3.2       11.7        3.9      -36.1 
070910  201646  46  34.2439 N  62  34.7862 W   5.7        3.2       11.7        3.9      -36.1 
070910  201647  46  34.2427 N  62  34.7868 W   5.6        3.2       11.7        3.9      -36.1 
070910  201648  46  34.2415 N  62  34.7875 W   5.4        3.2       11.7        3.9      -36.1 
070910  201649  46  34.2403 N  62  34.7880 W   5.3        3.2       11.7        3.9      -36.1 
070910  201650  46  34.2391 N  62  34.7886 W   5.2        3.2       11.7        3.9      -36.1 
070910  201651  46  34.2379 N  62  34.7892 W   5.1        3.2       11.7        3.9      -36.1 
070910  201652  46  34.2367 N  62  34.7898 W   5.0        3.2       11.7        3.9      -36.1 
070910  201653  46  34.2356 N  62  34.7904 W   4.9        3.2       11.7        3.9      -36.1 
070910  201654  46  34.2344 N  62  34.7908 W   4.8        3.2       11.7        3.9      -36.1 
070910  201655  46  34.2333 N  62  34.7913 W   4.7        3.2       11.7        3.9      -36.1 
070910  201656  46  34.2322 N  62  34.7917 W   4.7        3.2       11.7        3.9      -36.1 
070910  201657  46  34.2312 N  62  34.7923 W   4.6        3.2       11.7        3.9      -36.1 
070910  201658  46  34.2301 N  62  34.7928 W   4.5        3.2       11.7        3.9      -36.1 
070910  201659  46  34.2290 N  62  34.7933 W   4.4        3.2       11.7        3.9      -36.1 
070910  201700  46  34.2279 N  62  34.7938 W   4.4        3.2       11.7        3.9      -36.1 
070910  201701  46  34.2269 N  62  34.7943 W   4.3        3.2       11.7        3.9        2.6*
070910  201702  46  34.2259 N  62  34.7948 W   4.3        3.2       11.7        3.9        2.6 
070910  201703  46  34.2249 N  62  34.7953 W   4.2        3.2       11.7        3.9        2.6 
070910  201704  46  34.2239 N  62  34.7958 W   4.2        3.2       11.7        3.9        2.6 
070910  201705  46  34.2229 N  62  34.7962 W   4.1        3.2       11.7        3.9        2.6 
070910  201706  46  34.2218 N  62  34.7966 W   4.1        3.2       11.7        3.9       11.0*
070910  201707  46  34.2208 N  62  34.7971 W   4.1        3.2       11.7        4.1*      11.0 
070910  201708  46  34.2197 N  62  34.7976 W   4.1        3.2       11.7        4.1       11.0 
070910  201709  46  34.2185 N  62  34.7982 W   4.2        3.2       11.7        4.1       11.0 
070910  201710  46  34.2172 N  62  34.7987 W   4.3        3.2       11.7        4.1       11.0 
070910  201711  46  34.2158 N  62  34.7992 W   4.4        3.2       11.7        4.1       11.0 
070910  201712  46  34.2143 N  62  34.7998 W   4.7        3.2       11.7        4.1       11.0 
070910  201713  46  34.2127 N  62  34.8005 W   4.9        3.2       11.7      115.1*      11.0 
070910  201714  46  34.2110 N  62  34.8012 W   5.1        3.2       11.7      115.1       11.0 
070910  201715  46  34.2093 N  62  34.8019 W   5.3        3.2       11.7      115.1       11.0 
070910  201716  46  34.2075 N  62  34.8026 W   5.6        3.2       11.7      115.1       11.0 
070910  201717  46  34.2056 N  62  34.8034 W   5.8        3.2       11.7      115.1       11.0 
070910  201718  46  34.2037 N  62  34.8042 W   6.0        3.2       11.7      115.1       11.0 
070910  201719  46  34.2016 N  62  34.8051 W   6.3        3.2       11.7      115.1       11.0 
070910  201720  46  34.1996 N  62  34.8058 W   6.5        3.2       11.7      115.1       11.0 
070910  201721  46  34.1976 N  62  34.8067 W   6.7        3.2       11.7      115.1       11.0 
070910  201722  46  34.1954 N  62  34.8074 W   6.8        3.2       11.7      115.1        6.6*
070910  201723  46  34.1934 N  62  34.8083 W   7.0        3.2       11.7      115.1        6.6 
070910  201724  46  34.1913 N  62  34.8091 W   7.1        3.2       11.7      115.1        6.6 
070910  201725  46  34.1891 N  62  34.8100 W   7.3        3.2       11.7      115.1        6.6 
070910  201726  46  34.1870 N  62  34.8109 W   7.4        3.2       11.7      115.1        6.6 
070910  201727  46  34.1848 N  62  34.8118 W   7.5        3.2       11.7      115.1        6.6 
070910  201728  46  34.1825 N  62  34.8127 W   7.6        3.2       11.7        3.8*       6.6 
070910  201729  46  34.1803 N  62  34.8135 W   7.7        3.2       11.7        3.8        6.6 
070910  201730  46  34.1782 N  62  34.8143 W   7.8        3.2       11.7        3.8        6.6 
070910  201731  46  34.1760 N  62  34.8152 W   7.8        3.2       11.7        3.8        6.6 
070910  201732  46  34.1738 N  62  34.8160 W   7.9        3.2       11.7        3.8        6.6 
070910  201733  46  34.1716 N  62  34.8169 W   7.9        3.2       11.7        4.2*       6.6 
070910  201734  46  34.1694 N  62  34.8177 W   8.0        3.2       11.7        4.2        6.6 
070910  201735  46  34.1671 N  62  34.8186 W   8.0        3.2       11.7        4.2        6.6 
070910  201736  46  34.1649 N  62  34.8194 W   8.0        3.2       11.7        4.2        6.6 
070910  201737  46  34.1627 N  62  34.8202 W   8.1        3.2       11.7        4.2        6.6 
070910  201738  46  34.1604 N  62  34.8210 W   8.1        3.2       11.7        4.2        6.6 
070910  201739  46  34.1582 N  62  34.8217 W   8.1        3.2       11.7        4.2        6.6 
070910  201740  46  34.1560 N  62  34.8225 W   8.1        3.2       11.7        4.2        6.6 
070910  201741  46  34.1538 N  62  34.8232 W   8.1        3.2       11.7        4.2        6.6 
070910  201742  46  34.1516 N  62  34.8239 W   8.1        3.2       11.7        4.2        6.6 
070910  201743  46  34.1494 N  62  34.8247 W   8.1        3.2       11.7        4.2        6.6 
070910  201744  46  34.1472 N  62  34.8254 W   8.1        3.2       11.7        4.2        6.6 
070910  201745  46  34.1450 N  62  34.8262 W   8.1        3.2       11.7        4.2        6.6 
070910  201746  46  34.1428 N  62  34.8270 W   8.1        3.2       11.7        4.2        6.6 
070910  201747  46  34.1405 N  62  34.8277 W   8.2        3.2       11.7        4.2        6.6 
070910  201748  46  34.1383 N  62  34.8284 W   8.2        3.2       11.7        4.2        6.6 
070910  201749  46  34.1361 N  62  34.8291 W   8.2        3.2       11.7        4.2        6.6 
070910  201750  46  34.1339 N  62  34.8298 W   8.2        3.2       11.7        4.2        6.6 
070910  201751  46  34.1317 N  62  34.8305 W   8.1        3.2       11.7        4.2        6.6 
070910  201752  46  34.1295 N  62  34.8312 W   8.1        3.2       11.7        4.2        6.6 
070910  201753  46  34.1273 N  62  34.8318 W   8.1        3.2       11.7        4.2        6.6 
070910  201754  46  34.1251 N  62  34.8325 W   8.1        3.2       11.7        4.2       39.6*
070910  201755  46  34.1228 N  62  34.8331 W   8.1        3.2       11.7        4.2       39.6 
070910  201756  46  34.1206 N  62  34.8337 W   8.1        3.2       11.7        4.2       39.6 
070910  201757  46  34.1184 N  62  34.8344 W   8.1        3.2       11.7        4.2       39.6 
070910  201758  46  34.1162 N  62  34.8350 W   8.1        3.2       11.7        4.2       39.6 
070910  201759  46  34.1140 N  62  34.8357 W   8.1        3.2       11.7        4.2       39.6 
070910  201800  46  34.1118 N  62  34.8364 W   8.1        3.2       11.7        4.2       39.6 
070910  201801  46  34.1096 N  62  34.8371 W   8.1        3.2       11.7        4.2       39.6 
070910  201802  46  34.1074 N  62  34.8378 W   8.1        3.2       11.7        4.2       39.6 
070910  201803  46  34.1053 N  62  34.8385 W   8.1        3.2       11.7        4.2       39.6 
070910  201804  46  34.1032 N  62  34.8393 W   8.1        3.2       11.7        4.2       39.6 
070910  201805  46  34.1009 N  62  34.8401 W   8.1        3.2       11.7        4.2       39.6 
070910  201806  46  34.0987 N  62  34.8408 W   8.2        3.2       11.7        4.2       39.6 
070910  201807  46  34.0965 N  62  34.8415 W   8.2        3.2       11.7        4.2       39.6 
