09 22 2019 09 40 00 00000000 10110000    0.133   -1.211    1.665    22    22    22  13.2 1501.3 318.0 -20.1  21.5   0.100  13.36     0     0    1.218   173.73
09 22 2019 09 40 01 00000000 10110000   -0.323    1.658    0.631    22    22    22  13.2 1501.3 318.2 -20.1  21.4   0.085  13.36     0     0    1.689   348.98
09 22 2019 09 40 02 00000000 10110000   -0.217    0.540    0.855    22    22    22  13.2 1501.3 318.8 -20.1  21.5   0.094  13.36     0     0    0.582   338.11
09 22 2019 09 40 03 00000000 10110000    0.315    1.830    2.097    22    22    22  13.2 1501.3 318.9 -20.1  21.4   0.095  13.36     0     0    1.857     9.77
09 22 2019 09 40 04 00000000 10110000   -0.035    0.522    0.522    22    22    22  13.2 1501.3 319.1 -20.1  21.5   0.082  13.36     0     0    0.523   356.16
09 22 2019 09 40 05 00000000 10110000    0.105    0.342    1.389    22    22    22  13.2 1501.3 318.4 -20.1  21.4   0.100  13.36     0     0    0.358    17.07
09 22 2019 09 40 06 00000000 10110000   -2.279   -0.029   -1.813    22    22    22  13.2 1501.3 317.7 -20.1  21.5   0.107  13.36     0     0    2.279   269.27
09 22 2019 09 40 07 00000000 10110000    0.433    0.668    0.192    22    22    22  13.2 1501.3 317.7 -20.1  21.5   0.085  13.36     0     0    0.796    32.95
09 22 2019 09 40 08 00000000 10110000   -0.591   -0.651   -0.213    22    22    22  13.2 1501.3 317.9 -20.1  21.5   0.095  13.36     0     0    0.879   222.23
09 22 2019 09 40 09 00000000 10110000   -0.260    0.898    1.109    22    22    22  13.2 1501.3 317.9 -20.1  21.4   0.089  13.36     0     0    0.935   343.85
09 22 2019 09 40 10 00000000 10110000    0.120    0.292   -0.148    22    22    22  13.2 1501.3 318.0 -20.1  21.5   0.095  13.36     0     0    0.316    22.34
09 22 2019 09 40 11 00000000 10110000   -0.202    1.497    3.733    22    22    22  13.2 1501.3 317.8 -20.1  21.5   0.086  13.36     0     0    1.511   352.32
09 22 2019 09 40 12 00000000 10110000   -0.767    0.936    0.417    22    22    22  13.2 1501.3 317.6 -20.1  21.4   0.095  13.36     0     0    1.210   320.67
09 22 2019 09 40 13 00000000 10110000   -0.780    0.107    1.265    22    22    22  13.2 1501.3 318.5 -20.1  21.5   0.090  13.36     0     0    0.787   277.81
09 22 2019 09 40 14 00000000 10110000   -0.520   -0.225    0.076    22    22    22  13.2 1501.3 318.5 -20.0  21.4   0.082  13.36     0     0    0.567   246.60
09 22 2019 09 40 15 00000000 10110000   -0.730   -0.312   -0.629    22    22    22  13.2 1501.3 319.1 -20.0  21.5   0.082  13.36     0     0    0.794   246.86
09 22 2019 09 40 16 00000000 10110000   -1.253   -0.189   -0.048    22    22    22  13.2 1501.3 318.8 -20.0  21.5   0.079  13.36     0     0    1.267   261.42
09 22 2019 09 40 17 00000000 10110000   -1.334    1.006   -1.491    22    22    22  13.2 1501.3 318.3 -20.1  21.5   0.096  13.36     0     0    1.671   307.02
09 22 2019 09 40 18 00000000 10110000   -1.346    0.277    0.481    22    22    22  13.2 1501.3 318.0 -20.1  21.4   0.094  13.36     0     0    1.374   281.63
09 22 2019 09 40 19 00000000 10110000   -0.090    1.194    0.771    22    22    22  13.2 1501.3 317.6 -20.1  21.4   0.100  13.36     0     0    1.197   355.69
09 22 2019 09 40 20 00000000 10110000   -0.976    0.914   -1.505    22    22    22  13.2 1501.3 318.1 -20.1  21.5   0.082  13.36     0     0    1.337   313.12
09 22 2019 09 40 21 00000000 10110000    0.821    1.036   -0.286    22    22    22  13.2 1501.3 318.6 -20.1  21.5   0.084  13.36     0     0    1.322    38.40
09 22 2019 09 40 22 00000000 10110000   -1.955   -0.154   -2.017    22    22    22  13.2 1501.3 319.0 -20.1  21.4   0.074  13.36     0     0    1.961   265.50
09 22 2019 09 40 23 00000000 10110000   -1.807   -0.055   -1.044    22    22    22  13.2 1501.3 319.1 -20.0  21.4   0.080  13.36     0     0    1.808   268.26
09 22 2019 09 40 24 00000000 10110000   -1.787   -0.060   -1.250    22    22    22  13.2 1501.3 319.0 -20.1  21.4   0.080  13.36     0     0    1.788   268.08
09 22 2019 09 40 25 00000000 10110000   -0.117    0.147    2.727    22    22    22  13.2 1501.3 319.4 -20.0  21.5   0.095  13.36     0     0    0.188   321.48
09 22 2019 09 40 26 00000000 10110000   -0.338    1.516    1.102    22    22    22  13.2 1501.3 318.9 -20.0  21.4   0.086  13.36     0     0    1.553   347.43
09 22 2019 09 40 27 00000000 10110000   -0.854    0.076   -1.516    22    22    22  13.2 1501.3 318.3 -20.1  21.4   0.077  13.36     0     0    0.857   275.09
09 22 2019 09 40 28 00000000 10110000   -2.332   -0.963   -1.259    22    22    22  13.2 1501.3 318.5 -20.0  21.5   0.095  13.36     0     0    2.523   247.56
09 22 2019 09 40 29 00000000 10110000   -0.217    0.119   -1.840    22    22    22  13.2 1501.3 318.1 -20.1  21.5   0.088  13.36     0     0    0.247   298.74
09 22 2019 09 40 30 00000000 10110000   -0.319    0.193    4.436    22    22    22  13.2 1501.3 318.1 -20.1  21.5   0.083  13.36     0     0    0.373   301.17
09 22 2019 09 40 31 00000000 10110000   -0.011    1.193   -1.746    22    22    22  13.2 1501.3 318.2 -20.1  21.5   0.086  13.36     0     0    1.193   359.47
09 22 2019 09 40 32 00000000 10110000   -0.414   -0.669   -1.108    22    22    22  13.2 1501.3 318.7 -20.1  21.5   0.090  13.36     0     0    0.787   211.75
09 22 2019 09 40 33 00000000 10110000    1.516    1.244    3.239    22    22    22  13.2 1501.3 319.6 -20.0  21.4   0.089  13.36     0     0    1.961    50.63
09 22 2019 09 40 34 00000000 10110000   -0.610    1.117   -0.107    22    22    22  13.2 1501.3 320.0 -20.0  21.4   0.077  13.36     0     0    1.273   331.36
09 22 2019 09 40 35 00000000 10110000    0.055   -0.734    0.337    22    22    22  13.2 1501.3 320.1 -20.0  21.4   0.097  13.36     0     0    0.736   175.71
09 22 2019 09 40 36 00000000 10110000   -0.691   -0.105   -0.695    22    22    22  13.2 1501.3 319.6 -20.0  21.4   0.092  13.36     0     0    0.699   261.36
09 22 2019 09 40 37 00000000 10110000    0.275    1.019    0.530    22    22    22  13.2 1501.3 318.9 -20.0  21.4   0.091  13.36     0     0    1.055    15.10
09 22 2019 09 40 38 00000000 10110000   -1.931    0.159   -2.208    22    22    22  13.2 1501.3 318.6 -20.0  21.5   0.109  13.36     0     0    1.938   274.71
09 22 2019 09 40 39 00000000 10110000    0.373    0.894   -1.713    22    22    22  13.2 1501.3 318.0 -20.1  21.4   0.086  13.36     0     0    0.969    22.65
