09 24 2019 08 10 00 00000000 10110100    0.993    0.166    0.807   104    72    94  13.2 1483.6 292.3 164.0  22.0  42.865   8.31     0     0    1.007    80.51
09 24 2019 08 10 01 00000000 10110100    0.945    0.121    0.884   103    75    93  13.2 1483.6 292.1 164.0  21.9  42.888   8.30     0     0    0.953    82.70
09 24 2019 08 10 02 00000000 10110100    0.803    0.088    0.807   106    77    93  13.2 1483.5 291.9 164.1  22.1  42.860   8.29     0     0    0.808    83.75
09 24 2019 08 10 03 00000000 10110100    1.054    0.182    0.701   106    70    96  13.2 1483.5 292.5 164.1  22.0  42.827   8.28     0     0    1.070    80.20
09 24 2019 08 10 04 00000000 10110100    0.972    0.084    0.933   105    73    97  13.2 1483.4 292.2 164.1  22.0  42.854   8.27     0     0    0.976    85.06
09 24 2019 08 10 05 00000000 10110100    0.761    0.101    0.863   106    76    96  13.2 1483.4 291.4 164.2  22.0  42.872   8.26     0     0    0.768    82.44
09 24 2019 08 10 06 00000000 10110100    0.767    0.042    0.762   106    77    97  13.2 1483.4 291.8 164.1  21.9  42.869   8.25     0     0    0.768    86.87
09 24 2019 08 10 07 00000000 10110100    0.911    0.090    0.915   108    78    97  13.2 1483.3 292.4 164.1  21.9  42.878   8.24     0     0    0.915    84.36
09 24 2019 08 10 08 00000000 10110100    0.803    0.119    0.935   103    77    97  13.2 1483.3 292.4 164.2  21.9  42.885   8.23     0     0    0.812    81.57
09 24 2019 08 10 09 00000000 10110100    0.861    0.110    1.052   103    76    93  13.2 1483.2 292.5 164.0  21.9  42.872   8.22     0     0    0.868    82.72
09 24 2019 08 10 10 00000000 10110100    0.994    0.118    0.986   104    71    96  13.2 1483.2 292.6 164.1  21.9  42.862   8.21     0     0    1.001    83.23
09 24 2019 08 10 11 00000000 10110100    0.922    0.151    0.971   106    68    97  13.2 1483.2 292.2 164.1  21.9  42.887   8.21     0     0    0.934    80.70
