09 20 2019 09 37 45 00000000 10101100   -1.001    0.534   -1.664    21    21    20  13.0 1516.5  36.6 158.3 161.8   0.063  18.27     0     0    1.135   298.08
09 20 2019 09 37 46 00000000 10101100    0.727   -0.009    1.140    21    21    20  13.0 1516.5  36.3 158.3 161.8   0.044  18.28     0     0    0.727    90.71
09 20 2019 09 37 47 00000000 10101100   -1.798   -1.043   -0.378    21    21    20  13.0 1516.5  35.8 158.2 161.6   0.050  18.28     0     0    2.079   239.88
09 20 2019 09 37 48 00000000 10101100    0.632    0.969    0.956    21    22    21  13.0 1516.5  36.1 158.3 161.7   0.048  18.28     0     0    1.157    33.11
09 20 2019 09 37 49 00000000 10101100   -0.606    0.318    0.707    21    22    21  13.0 1516.6  36.2 158.2 161.6   0.058  18.29     0     0    0.684   297.69
09 20 2019 09 37 50 00000000 10101100   -0.379   -0.735   -1.827    22    22    21  13.0 1516.6  36.2 158.3 161.7   0.029  18.29     0     0    0.827   207.28
09 20 2019 09 37 51 00000000 10101100   -0.305   -0.306   -0.985    22    22    21  13.0 1516.6  36.3 158.3 161.7   0.041  18.29     0     0    0.432   224.91
09 20 2019 09 37 52 00000000 10101100    1.190    0.151    0.522    21    22    21  13.0 1516.6  36.5 158.3 161.7   0.050  18.29     0     0    1.200    82.77
09 20 2019 09 37 53 00000000 10101100    0.297   -0.239    0.575    22    22    21  13.0 1516.6  36.1 158.3 161.7   0.048  18.30     0     0    0.381   128.82
09 20 2019 09 37 54 00000000 10101100   -0.341   -0.220   -1.390    22    22    21  13.0 1516.6  36.0 158.3 161.7   0.023  18.30     0     0    0.406   237.17
09 20 2019 09 37 55 00000000 10101100   -0.975   -0.548   -1.350    22    22    21  13.0 1516.6  36.1 158.2 161.7   0.055  18.30     0     0    1.118   240.66
09 20 2019 09 37 56 00000000 10101100   -0.146   -0.414   -0.962    22    22    21  13.0 1516.6  36.3 158.3 161.7   0.039  18.31     0     0    0.439   199.43
