09 20 2019 13 51 16 00000000 10101100   -1.310   -0.842    1.366    20    21    20  12.8 1516.9 287.9 158.4 -164.6   0.031  18.43     0     0    1.557   237.27
09 20 2019 13 51 17 00000000 10101100    1.355    0.877   -0.303    20    21    20  12.8 1517.0 288.2 158.5 -164.7   0.036  18.44     0     0    1.614    57.09
09 20 2019 13 51 18 00000000 10101100    3.227    0.816   -1.072    20    21    20  12.8 1517.0 287.8 158.4 -164.6   0.039  18.45     0     0    3.329    75.81
09 20 2019 13 51 19 00000000 10101100   -0.314    0.684    0.336    21    22    21  12.8 1517.0 287.8 158.4 -164.6   0.022  18.45     0     0    0.753   335.34
09 20 2019 13 51 20 00000000 10101100   -0.282   -0.804   -1.289    21    22    21  12.8 1517.0 287.7 158.4 -164.7   0.029  18.46     0     0    0.852   199.33
09 20 2019 13 51 21 00000000 10101100    0.748   -0.159   -1.125    21    22    21  12.8 1517.1 287.6 158.4 -164.6   0.014  18.47     0     0    0.765   102.00
09 20 2019 13 51 22 00000000 10101100    0.195    0.851   -1.330    21    22    21  12.8 1517.1 287.9 158.4 -164.6   0.021  18.47     0     0    0.873    12.91
09 20 2019 13 51 23 00000000 10101100    0.403    0.638    0.008    21    22    21  12.8 1517.1 288.2 158.5 -164.7   0.016  18.48     0     0    0.755    32.28
09 20 2019 13 51 24 00000000 10101100    1.958   -1.057   -2.493    22    23    21  12.8 1517.1 288.2 158.5 -164.7   0.037  18.49     0     0    2.225   118.36
09 20 2019 13 51 25 00000000 10101100    0.068    0.651   -0.415    22    24    22  12.8 1517.2 288.1 158.4 -164.6   0.021  18.50     0     0    0.655     5.96
09 20 2019 13 51 26 00000000 10101100   -0.877   -0.181    0.089    23    24    22  12.8 1517.2 287.8 158.4 -164.7   0.026  18.50     0     0    0.895   258.34
09 20 2019 13 51 27 00000000 10101100   -0.412   -0.179   -1.466    22    23    22  12.8 1517.2 287.4 158.4 -164.7   0.013  18.51     0     0    0.449   246.52
09 20 2019 13 51 28 00000000 10101100    0.959    1.684   -1.981    25    26    24  12.8 1517.2 287.8 158.4 -164.6   0.022  18.52     0     0    1.938    29.66
09 20 2019 13 51 29 00000000 10101100    2.671    1.295   -2.069    25    27    24  12.8 1517.2 288.6 158.4 -164.6   0.001  18.53     0     0    2.968    64.13
09 20 2019 13 51 30 00000000 10101100   -0.259    0.737   -0.617    16    16    15  12.8 1517.2 288.9 158.4 -164.6   0.013  18.53     0     0    0.781   340.64
