09 20 2019 14 25 00 00000000 10110000   -0.313    0.214    2.031    22    22    22  13.4 1504.1   9.2 -20.7  23.0   0.030  14.21     0     0    0.379   304.36
09 20 2019 14 25 01 00000000 10110000   -0.475    0.309    0.014    22    22    22  13.4 1504.1   7.9 -20.7  23.0   0.031  14.21     0     0    0.567   303.05
09 20 2019 14 25 02 00000000 10110000   -1.141    1.276   -1.659    22    22    22  13.4 1504.1   9.3 -20.7  23.1   0.038  14.21     0     0    1.712   318.20
09 20 2019 14 25 03 00000000 10110000   -0.510    0.231    0.304    22    22    22  13.4 1504.1   8.9 -20.6  23.0   0.018  14.21     0     0    0.560   294.37
09 20 2019 14 25 04 00000000 10110000    0.030    0.133    3.351    22    22    22  13.4 1504.1   8.5 -20.7  23.0   0.026  14.21     0     0    0.136    12.71
09 20 2019 14 25 05 00000000 10110000    0.136    0.491    0.054    22    22    22  13.4 1504.1   9.8 -20.6  23.0   0.035  14.21     0     0    0.509    15.48
09 20 2019 14 25 06 00000000 10110000   -0.814    1.136   -0.360    22    22    22  13.4 1504.1   6.7 -20.6  23.1   0.027  14.21     0     0    1.398   324.38
09 20 2019 14 25 07 00000000 10110000   -1.125    1.062   -2.212    22    22    22  13.3 1504.1   9.0 -20.6  23.1   0.028  14.21     0     0    1.547   313.35
09 20 2019 14 25 08 00000000 10110000    0.246    0.519    2.430    22    22    22  13.4 1504.1   7.1 -20.6  23.0   0.026  14.21     0     0    0.574    25.36
09 20 2019 14 25 09 00000000 10110000    0.547    1.204   -0.423    22    22    22  13.3 1504.1   9.8 -20.6  23.1   0.033  14.21     0     0    1.322    24.43
09 20 2019 14 25 10 00000000 10110000   -0.473    1.223   -0.953    22    22    22  13.3 1504.1   9.8 -20.6  23.0   0.019  14.21     0     0    1.311   338.86
09 20 2019 14 25 11 00000000 10110000    0.752    0.515    0.186    22    22    22  13.3 1504.1   8.9 -20.7  23.0   0.024  14.21     0     0    0.911    55.60
09 20 2019 14 25 12 00000000 10110000   -1.111    1.021   -1.782    22    22    22  13.3 1504.1   9.3 -20.6  23.0   0.042  14.21     0     0    1.509   312.58
09 20 2019 14 25 13 00000000 10110000   -0.326    0.437    0.240    22    22    22  13.4 1504.1   7.2 -20.5  22.8   0.008  14.21     0     0    0.545   323.28
09 20 2019 14 25 14 00000000 10110000    0.354    0.063    0.765    22    22    22  13.3 1504.1   9.2 -20.7  23.0   0.021  14.21     0     0    0.360    79.91
09 20 2019 14 25 15 00000000 10110000    1.340    0.194    0.122    22    22    22  13.4 1504.1   8.8 -20.6  22.9   0.037  14.21     0     0    1.354    81.76
09 20 2019 14 25 16 00000000 10110000   -0.729    1.565    0.186    22    22    22  13.4 1504.1   8.4 -20.7  23.0   0.016  14.21     0     0    1.726   335.02
09 20 2019 14 25 17 00000000 10110000   -0.100    0.276   -0.051    22    22    22  13.3 1504.1   9.1 -20.6  22.9   0.035  14.21     0     0    0.294   340.08
09 20 2019 14 25 18 00000000 10110000   -0.871   -0.163   -0.721    22    22    22  13.3 1504.1   7.1 -20.6  23.0   0.025  14.21     0     0    0.886   259.40
09 20 2019 14 25 19 00000000 10110000   -0.431    0.984    0.310    22    22    22  13.3 1504.1   9.9 -20.6  23.0   0.026  14.21     0     0    1.074   336.35
09 20 2019 14 25 20 00000000 10110000    0.136    0.099   -1.582    22    22    22  13.3 1504.1   6.0 -20.5  22.9   0.036  14.21     0     0    0.168    53.95
09 20 2019 14 25 21 00000000 10110000    0.229    1.171   -1.977    22    22    22  13.3 1504.1  10.0 -20.7  23.0   0.039  14.21     0     0    1.193    11.07
09 20 2019 14 25 22 00000000 10110000    0.388    1.127    1.228    22    22    22  13.4 1504.1   8.8 -20.6  22.9   0.035  14.21     0     0    1.192    19.00
09 20 2019 14 25 23 00000000 10110000   -2.430    0.917   -1.559    22    22    22  13.4 1504.1   8.0 -20.6  23.0   0.033  14.21     0     0    2.597   290.67
09 20 2019 14 25 24 00000000 10110000   -0.874    1.723   -1.777    22    22    22  13.4 1504.1   9.2 -20.6  22.8   0.016  14.21     0     0    1.932   333.10
09 20 2019 14 25 25 00000000 10110000    0.522    0.761   -0.239    22    22    22  13.3 1504.1   9.7 -20.6  23.0   0.012  14.21     0     0    0.923    34.45
09 20 2019 14 25 26 00000000 10110000    0.737   -0.116    0.960    22    22    22  13.4 1504.1   8.8 -20.6  22.9   0.014  14.21     0     0    0.746    98.94
09 20 2019 14 25 27 00000000 10110000   -0.144    0.781    0.255    22    22    22  13.3 1504.1   9.4 -20.6  22.9   0.009  14.21     0     0    0.794   349.55
09 20 2019 14 25 28 00000000 10110000    0.824    1.187    0.401    22    22    22  13.4 1504.1   9.3 -20.7  23.0   0.035  14.21     0     0    1.445    34.77
09 20 2019 14 25 29 00000000 10110000    1.521   -0.348    1.005    22    22    22  13.3 1504.1   8.9 -20.5  22.9   0.020  14.21     0     0    1.560   102.89
09 20 2019 14 25 30 00000000 10110000   -0.322    0.353   -0.500    22    22    22  13.3 1504.1   7.8 -20.6  22.9   0.031  14.21     0     0    0.478   317.63
09 20 2019 14 25 31 00000000 10110000    2.288    0.287   -0.466    22    22    22  13.3 1504.0   9.6 -20.6  23.1   0.039  14.20     0     0    2.306    82.85
09 20 2019 14 25 32 00000000 10110000   -0.900    0.568   -0.583    22    22    22  13.3 1504.1   8.9 -20.6  22.9   0.004  14.21     0     0    1.064   302.26
09 20 2019 14 25 33 00000000 10110000    1.539    0.920   -0.421    22    22    22  13.3 1504.1   6.8 -20.4  22.8   0.030  14.21     0     0    1.793    59.13
09 20 2019 14 25 34 00000000 10110000    0.749   -0.056   -0.501    22    22    22  13.3 1504.1   8.8 -20.6  23.0   0.026  14.21     0     0    0.751    94.28
09 20 2019 14 25 35 00000000 10110000    0.062    0.798   -0.836    22    22    22  13.3 1504.0   7.2 -20.5  22.9   0.030  14.20     0     0    0.800     4.44
09 20 2019 14 25 36 00000000 10110000    0.151    0.442    0.842    22    22    22  13.3 1504.0   8.2 -20.5  22.9   0.021  14.20     0     0    0.467    18.86
09 20 2019 14 25 37 00000000 10110000    0.579   -0.156    1.567    22    22    22  13.4 1504.0   8.2 -20.6  23.0   0.019  14.20     0     0    0.600   105.08
09 20 2019 14 25 38 00000000 10110000    0.378    0.708    0.104    22    22    22  13.3 1504.1   7.2 -20.5  22.8   0.039  14.21     0     0    0.803    28.10
09 20 2019 14 25 39 00000000 10110000    0.919    0.936   -0.191    22    22    22  13.3 1504.0   8.4 -20.6  22.9   0.012  14.20     0     0    1.312    44.47
09 20 2019 14 25 40 00000000 10110000    0.550    0.775    1.893    22    22    22  13.3 1504.0   7.4 -20.6  22.7   0.033  14.20     0     0    0.950    35.36
09 20 2019 14 25 41 00000000 10110000    1.103   -1.098    0.171    22    22    22  13.3 1504.0   7.9 -20.7  23.0   0.028  14.20     0     0    1.556   134.87
09 20 2019 14 25 42 00000000 10110000    1.145    0.458    0.126    22    22    22  13.3 1504.0   9.3 -20.5  22.9   0.031  14.20     0     0    1.233    68.20
09 20 2019 14 25 43 00000000 10110000    1.414    0.259    0.471    22    22    22  13.3 1504.0   9.0 -20.6  22.9   0.015  14.20     0     0    1.438    79.62
09 20 2019 14 25 44 00000000 10110000   -0.483    1.050    0.501    22    22    22  13.3 1504.1   8.5 -20.6  22.9   0.024  14.21     0     0    1.156   335.30
