FileName: C:\TRAWLS~1\FALL\GP012F.TXT
Local Time: Fri Sep 05 14:27:51 2008

Ship: 5 septembre 2008 Trip: GP012F Tow: 7
Comments: Area 12, Vallée de Shédiac - Centre
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread      Depth 
080905  172750  47  27.2548 N  63  54.0429 W   4.3        6.4*       9.6*     131.3*      15.0 
080905  172751  47  27.2548 N  63  54.0443 W   4.1        6.4        9.6      131.3       15.0 
080905  172752  47  27.2548 N  63  54.0456 W   4.0        6.4        9.6      131.3       15.0 
080905  172753  47  27.2548 N  63  54.0469 W   3.9        6.4        9.6      131.3       15.0 
080905  172754  47  27.2548 N  63  54.0481 W   3.7        6.4        9.6      131.3       15.0 
080905  172755  47  27.2548 N  63  54.0494 W   3.6        6.4        9.6      131.3       15.0 
080905  172756  47  27.2547 N  63  54.0505 W   3.5        6.4        9.6      131.3       15.0 
080905  172757  47  27.2547 N  63  54.0517 W   3.4        6.4        9.6      131.3       15.0 
080905  172758  47  27.2547 N  63  54.0529 W   3.3        6.4        9.6      131.3       15.0 
080905  172759  47  27.2546 N  63  54.0540 W   3.3        6.4        9.6      131.3       15.0 
080905  172800  47  27.2545 N  63  54.0551 W   3.2        6.4        9.6      131.3       15.0 
080905  172801  47  27.2545 N  63  54.0561 W   3.1        6.4        9.6      131.3       15.0 
080905  172802  47  27.2545 N  63  54.0571 W   3.0        6.4        9.6      131.3       15.0 
080905  172803  47  27.2545 N  63  54.0581 W   2.9        6.4        9.6      131.3       15.0 
080905  172804  47  27.2544 N  63  54.0592 W   2.9        6.4        9.6      131.3       15.0 
080905  172805  47  27.2542 N  63  54.0603 W   2.9        6.4        9.6      131.3       15.0 
080905  172806  47  27.2542 N  63  54.0615 W   2.9        2.3*       9.6      131.3       15.0 
080905  172807  47  27.2542 N  63  54.0628 W   2.9        2.3        9.6      131.3       15.0 
080905  172808  47  27.2542 N  63  54.0643 W   3.0        2.3        9.6      131.3       15.0 
080905  172809  47  27.2540 N  63  54.0658 W   3.2        2.3        9.6      131.3       15.0 
080905  172810  47  27.2538 N  63  54.0675 W   3.3        2.3        9.6      131.3       15.0 
080905  172811  47  27.2538 N  63  54.0693 W   3.5        2.3        9.6      131.3       15.0 
080905  172812  47  27.2538 N  63  54.0714 W   3.7        2.3        9.6      131.3       15.0 
080905  172813  47  27.2537 N  63  54.0735 W   3.9        2.3        9.6      131.3       15.0 
080905  172814  47  27.2536 N  63  54.0756 W   4.1        2.3        9.6      131.3       15.0 
080905  172815  47  27.2534 N  63  54.0779 W   4.3        2.3        9.6        2.3*      15.0 
080905  172816  47  27.2533 N  63  54.0803 W   4.6        2.3        9.6        2.3       15.0 
080905  172817  47  27.2531 N  63  54.0827 W   4.8        2.3        9.6        2.3       15.0 
080905  172818  47  27.2529 N  63  54.0851 W   5.0        2.3        9.6        2.3       15.0 
080905  172819  47  27.2527 N  63  54.0876 W   5.2        2.3        9.6        2.3       15.0 
080905  172820  47  27.2525 N  63  54.0902 W   5.4        2.3        9.6        8.1*      15.0 
080905  172821  47  27.2523 N  63  54.0928 W   5.5        2.3        9.6        8.1       15.0 
080905  172822  47  27.2520 N  63  54.0953 W   5.7        2.3        9.6        8.1       15.0 
080905  172823  47  27.2518 N  63  54.0979 W   5.8        2.3        9.6        8.1       15.0 
080905  172824  47  27.2516 N  63  54.1006 W   6.0        2.3        9.6        8.1       15.0 
080905  172825  47  27.2514 N  63  54.1033 W   6.1        2.3        9.6        8.1       15.0 
080905  172826  47  27.2512 N  63  54.1060 W   6.2        2.3        9.6        8.1       15.0 
080905  172827  47  27.2510 N  63  54.1088 W   6.3        2.3        9.6        8.1       15.0 
080905  172828  47  27.2509 N  63  54.1117 W   6.4        2.3        9.6        8.1       15.0 
080905  172829  47  27.2507 N  63  54.1146 W   6.5        2.3        9.6        8.1       15.0 
080905  172830  47  27.2504 N  63  54.1174 W   6.6        2.3        9.6        8.1       15.0 
080905  172831  47  27.2502 N  63  54.1202 W   6.6        2.3        9.6        8.1       15.0 
080905  172832  47  27.2500 N  63  54.1230 W   6.7        2.3        9.6        8.1       15.0 
080905  172833  47  27.2498 N  63  54.1259 W   6.7        2.3        9.6        8.1       15.0 
080905  172834  47  27.2496 N  63  54.1287 W   6.8        2.3        9.6        8.1       15.0 
080905  172835  47  27.2494 N  63  54.1318 W   6.9        2.3        9.6        8.1       15.0 
080905  172836  47  27.2492 N  63  54.1348 W   6.9        2.3        9.6        8.1       15.0 
080905  172837  47  27.2490 N  63  54.1377 W   7.0        2.3        9.6        8.1       15.0 
080905  172838  47  27.2488 N  63  54.1406 W   7.0        2.3        9.6        8.1       15.0 
080905  172839  47  27.2487 N  63  54.1435 W   7.0        2.3        9.6        8.1       15.0 
080905  172840  47  27.2486 N  63  54.1464 W   7.0        2.3        9.6        8.1       15.0 
080905  172841  47  27.2484 N  63  54.1493 W   7.0        2.3        9.6        8.1       15.0 
080905  172842  47  27.2482 N  63  54.1522 W   7.0        2.3        9.6        8.1       15.0 
080905  172843  47  27.2480 N  63  54.1552 W   7.0        2.3        9.6        8.1       15.0 
080905  172844  47  27.2478 N  63  54.1582 W   7.1        2.3        9.6        8.1       15.0 
080905  172845  47  27.2476 N  63  54.1611 W   7.1        2.3        9.6        8.1       15.0 
080905  172846  47  27.2475 N  63  54.1641 W   7.1        2.3        9.6        8.1       15.0 
080905  172847  47  27.2472 N  63  54.1669 W   7.1        2.3        9.6        8.1       15.0 
080905  172848  47  27.2469 N  63  54.1697 W   7.1        2.3        9.6        8.1       15.0 
080905  172849  47  27.2467 N  63  54.1727 W   7.1        2.3        9.6        8.1       15.0 
080905  172850  47  27.2465 N  63  54.1756 W   7.1        2.3        9.6        8.1       15.0 
080905  172851  47  27.2463 N  63  54.1786 W   7.1        2.3        9.6        8.1       15.0 
080905  172852  47  27.2461 N  63  54.1816 W   7.1        2.3        9.6        8.1       15.0 
080905  172853  47  27.2459 N  63  54.1846 W   7.1        2.3        9.6        8.1       15.0 
080905  172854  47  27.2455 N  63  54.1874 W   7.1        2.3        9.6        8.1       15.0 
080905  172855  47  27.2453 N  63  54.1903 W   7.2        2.3        9.6        8.1       15.0 
080905  172856  47  27.2451 N  63  54.1933 W   7.2        2.3        9.6        8.1       15.0 
080905  172857  47  27.2449 N  63  54.1962 W   7.2        2.3        9.6        8.1       15.0 
080905  172858  47  27.2446 N  63  54.1991 W   7.2        2.3        9.6        8.1       15.0 
080905  172859  47  27.2444 N  63  54.2021 W   7.2        2.3        9.6        8.1       15.0 
080905  172900  47  27.2440 N  63  54.2050 W   7.2        2.3        9.6        8.1       15.0 
080905  172901  47  27.2437 N  63  54.2079 W   7.2        2.3        9.6        8.1       15.0 
080905  172902  47  27.2433 N  63  54.2107 W   7.1        2.3        9.6        8.1       15.0 
080905  172903  47  27.2430 N  63  54.2136 W   7.1        2.3        9.6        8.1       15.0 
080905  172904  47  27.2427 N  63  54.2165 W   7.1        2.3        9.6        8.1       15.0 
080905  172905  47  27.2423 N  63  54.2193 W   7.1        2.3        9.6        8.1       15.0 
080905  172906  47  27.2418 N  63  54.2222 W   7.1        2.3        9.6        8.1       15.0 
080905  172907  47  27.2414 N  63  54.2250 W   7.1        2.3        9.6        8.1       15.0 
080905  172908  47  27.2410 N  63  54.2279 W   7.1        2.3        9.6        8.1       15.0 
080905  172909  47  27.2407 N  63  54.2308 W   7.1        2.3        9.6        8.1       15.0 
080905  172910  47  27.2404 N  63  54.2337 W   7.1        2.3        9.6        8.1       15.0 
080905  172911  47  27.2400 N  63  54.2365 W   7.1        2.3        9.6        8.1       15.0 
