FileName: C:\TRAWLS~1\FALL\GP0124F.TXT
Local Time: Thu Aug 14 09:34:17 2008

Ship: 14 août 2008 Trip: GP124F Tow: 5
Comments: Area 12, Banc Orphelin - Ouest
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread      Depth 
080814  123525  48  21.1722 N  63  15.9095 W   7.0        2.8       13.0      141.1        7.5 
080814  123526  48  21.1741 N  63  15.9092 W   7.0        2.8       13.0      141.1        7.5 
080814  123527  48  21.1761 N  63  15.9089 W   7.0        2.8       13.0      141.1        7.5 
080814  123528  48  21.1780 N  63  15.9085 W   7.0        2.8       13.0      141.1        7.5 
080814  123529  48  21.1800 N  63  15.9081 W   7.0        2.8       13.0      141.1        7.5 
080814  123530  48  21.1819 N  63  15.9077 W   7.0        2.8       13.0      141.1        6.6*
080814  123531  48  21.1838 N  63  15.9073 W   7.0        2.8       13.0      141.1        6.6 
080814  123532  48  21.1858 N  63  15.9069 W   7.0        2.8       13.0      141.1        6.6 
080814  123533  48  21.1877 N  63  15.9066 W   7.0        2.8       13.0      141.1        6.6 
080814  123534  48  21.1897 N  63  15.9062 W   7.0        2.8       13.0      141.1        6.6 
080814  123535  48  21.1916 N  63  15.9058 W   7.0        2.8       13.0      141.1        6.6 
080814  123536  48  21.1936 N  63  15.9056 W   7.0        2.8       13.0      141.1        6.6 
080814  123537  48  21.1956 N  63  15.9053 W   7.0        2.8       13.0      141.1        6.6 
080814  123538  48  21.1977 N  63  15.9050 W   7.0        2.8       13.0      141.1        6.6 
080814  123539  48  21.1997 N  63  15.9048 W   7.0        2.8       13.0      141.1        6.6 
080814  123540  48  21.2016 N  63  15.9045 W   7.0        2.8       13.0      141.1        6.6 
080814  123541  48  21.2036 N  63  15.9041 W   7.0        2.8       13.0      141.1        6.6 
080814  123542  48  21.2055 N  63  15.9038 W   7.0        2.8       13.0      141.1        6.6 
080814  123543  48  21.2075 N  63  15.9034 W   7.0        2.8       13.0      141.1        6.6 
080814  123544  48  21.2094 N  63  15.9030 W   7.0        2.8       13.0      141.1        6.6 
080814  123545  48  21.2113 N  63  15.9026 W   7.0        2.8       13.0      141.1        6.6 
080814  123546  48  21.2133 N  63  15.9022 W   7.0        2.8        4.9*     141.1        6.6 
080814  123547  48  21.2152 N  63  15.9019 W   7.0        2.8        4.9      141.1        6.6 
080814  123548  48  21.2172 N  63  15.9016 W   7.0        2.8        4.9      141.1        6.6 
080814  123549  48  21.2191 N  63  15.9013 W   7.0        2.8        4.9      141.1        6.6 
080814  123550  48  21.2210 N  63  15.9010 W   7.0        2.8        4.9      141.1        6.6 
080814  123551  48  21.2230 N  63  15.9007 W   7.0        2.8        4.9      141.1        6.6 
080814  123552  48  21.2249 N  63  15.9004 W   7.0        2.8        4.9      141.1        6.6 
080814  123553  48  21.2268 N  63  15.9000 W   7.0        2.8        4.9      141.1        6.6 
080814  123554  48  21.2287 N  63  15.8997 W   7.0        2.8        4.9      141.1        6.6 
080814  123555  48  21.2306 N  63  15.8994 W   7.0        2.8        4.9      141.1        6.6 
080814  123556  48  21.2325 N  63  15.8991 W   7.0        2.8        4.9      141.1        6.6 
080814  123557  48  21.2344 N  63  15.8988 W   7.0        2.8        4.9      141.1        6.6 
080814  123558  48  21.2363 N  63  15.8985 W   7.0        2.8        4.9      141.1        6.6 
080814  123559  48  21.2383 N  63  15.8983 W   7.0        2.8        4.9      141.1        6.6 
080814  123600  48  21.2402 N  63  15.8980 W   7.0        2.8        4.9      141.1        6.6 
080814  123601  48  21.2421 N  63  15.8978 W   7.0        2.8        4.9      141.1        6.6 
080814  123602  48  21.2441 N  63  15.8975 W   7.0        2.8        4.9      141.1        6.6 
080814  123603  48  21.2460 N  63  15.8972 W   7.0        2.8        4.9      141.1        6.6 
080814  123604  48  21.2479 N  63  15.8969 W   7.0        2.8        4.9      141.1        6.6 
