"","date","time","hydrophone","value","signalpower"
"1035","2025-08-13","09:18:16:00",0,19.907407,83
"1036","2025-08-13","09:18:44:00",0,0,82
"1037","2025-08-13","09:18:51:00",1,1.203704,85
"1038","2025-08-13","09:18:51:00",0,54.722222,65
"1039","2025-08-13","09:18:58:00",1,1.574074,80
"1040","2025-08-13","09:18:58:00",0,8.796296,86
"1041","2025-08-13","09:19:05:00",1,13.055556,80
"1042","2025-08-13","09:19:14:00",0,33.611111,72
"1043","2025-08-13","09:19:21:00",1,7.314815,95
"1044","2025-08-13","09:19:21:00",0,33.611111,83
"1045","2025-08-13","09:19:28:00",1,6.111111,95
"1046","2025-08-13","09:19:35:00",1,9.259259,97
"1047","2025-08-13","09:19:40:00",0,14.537037,78
"1048","2025-08-13","09:19:42:00",1,10.833333,104
"1049","2025-08-13","09:19:47:00",0,83.425926,68
"1050","2025-08-13","09:19:49:00",1,11.851852,105
"1051","2025-08-13","09:19:56:00",1,12.407407,100
"1052","2025-08-13","09:20:03:00",0,21.111111,99
"1053","2025-08-13","09:20:03:00",1,14.074074,103
"1054","2025-08-13","09:20:10:00",1,14.074074,98
"1055","2025-08-13","09:20:10:00",0,6.759259,100
"1056","2025-08-13","09:20:17:00",1,15.185185,97
"1057","2025-08-13","09:20:17:00",0,14.907407,101
"1058","2025-08-13","09:20:24:00",0,15.555556,107
"1059","2025-08-13","09:20:24:00",1,15.37037,102
"1060","2025-08-13","09:20:31:00",0,16.388889,96
"1061","2025-08-13","09:20:31:00",1,16.018519,99
"1062","2025-08-13","09:20:38:00",0,16.388889,96
"1063","2025-08-13","09:20:38:00",1,17.87037,96
"1064","2025-08-13","09:20:45:00",1,15.462963,94
"1065","2025-08-13","09:20:45:00",0,16.944444,96
"1066","2025-08-13","09:20:52:00",1,18.425926,94
"1067","2025-08-13","09:20:52:00",0,17.037037,99
"1068","2025-08-13","09:20:59:00",0,17.685185,104
"1069","2025-08-13","09:21:07:00",0,20,104
"1070","2025-08-13","09:21:14:00",0,18.796296,101
"1071","2025-08-13","09:21:21:00",0,27.12963,104
"1072","2025-08-13","09:21:28:00",0,15.648148,100
"1073","2025-08-13","09:21:35:00",1,24.444444,92
"1074","2025-08-13","09:21:35:00",0,24.537037,100
"1075","2025-08-13","09:21:42:00",1,26.388889,88
"1076","2025-08-13","09:21:42:00",0,23.611111,99
"1077","2025-08-13","09:21:49:00",1,24.351852,91
"1078","2025-08-13","09:21:49:00",0,27.12963,94
"1079","2025-08-13","09:21:56:00",0,27.685185,97
"1080","2025-08-13","09:22:03:00",0,28.518519,98
"1081","2025-08-13","09:22:10:00",1,35.833333,89
"1082","2025-08-13","09:22:10:00",0,30.833333,98
"1083","2025-08-13","09:22:18:00",0,32.037037,98
"1084","2025-08-13","09:22:25:00",0,35.925926,85
"1085","2025-08-13","09:22:32:00",0,36.851852,85
"1086","2025-08-13","09:22:39:00",0,40.833333,83
"1087","2025-08-13","09:22:46:00",0,54.074074,84
"1088","2025-08-13","09:22:53:00",0,25.555556,90
"1089","2025-08-13","09:23:13:00",0,70.462963,85
"1090","2025-08-13","09:23:20:00",0,24.351852,93
"1091","2025-08-13","09:23:27:00",0,51.481481,93
"1092","2025-08-13","09:23:34:00",0,59.166667,86
"1093","2025-08-13","09:23:41:00",0,47.222222,88
"1094","2025-08-13","09:23:49:00",0,54.907407,92
"1095","2025-08-13","09:23:56:00",0,58.703704,92
"1096","2025-08-13","09:24:03:00",0,60.555556,91
"1097","2025-08-13","09:24:10:00",1,56.203704,86
"1098","2025-08-13","09:24:10:00",0,59.166667,96
"1099","2025-08-13","09:24:18:00",0,63.611111,90
"1100","2025-08-13","09:24:18:00",1,63.796296,85
"1101","2025-08-13","09:24:25:00",0,66.296296,93
"1102","2025-08-13","09:24:25:00",1,65.740741,89
"1103","2025-08-13","09:24:32:00",1,64.166667,88
"1104","2025-08-13","09:24:32:00",0,63.981481,93
"1105","2025-08-13","09:24:39:00",0,67.314815,97
"1106","2025-08-13","09:24:39:00",1,66.944444,87
"1107","2025-08-13","09:24:46:00",1,69.444444,87
"1108","2025-08-13","09:24:46:00",0,69.074074,97
"1109","2025-08-13","09:24:54:00",0,72.222222,98
"1110","2025-08-13","09:24:54:00",1,72.037037,93
"1111","2025-08-13","09:25:01:00",1,74.259259,98
"1112","2025-08-13","09:25:01:00",0,73.981481,110
"1113","2025-08-13","09:25:08:00",1,76.666667,96
"1114","2025-08-13","09:25:08:00",0,76.851852,112
"1115","2025-08-13","09:25:16:00",0,80.648148,107
"1116","2025-08-13","09:25:16:00",1,83.148148,96
"1117","2025-08-13","09:25:23:00",1,80,89
"1118","2025-08-13","09:25:23:00",0,81.666667,101
"1119","2025-08-13","09:25:30:00",0,83.796296,105
"1120","2025-08-13","09:25:30:00",1,82.685185,93
"1121","2025-08-13","09:25:38:00",1,86.296296,94
"1122","2025-08-13","09:25:38:00",0,84.259259,98
"1123","2025-08-13","09:25:54:00",0,76.574074,96
"1124","2025-08-13","09:25:54:00",1,76.666667,93
"1125","2025-08-13","09:26:01:00",0,76.388889,103
"1126","2025-08-13","09:26:01:00",1,76.666667,88
"1127","2025-08-13","09:26:08:00",0,76.574074,107
"1128","2025-08-13","09:26:08:00",1,76.203704,91
"1129","2025-08-13","09:26:16:00",1,92.962963,91
"1130","2025-08-13","09:26:16:00",0,85.740741,111
"1131","2025-08-13","09:26:23:00",1,60.37037,94
"1132","2025-08-13","09:26:23:00",0,67.685185,106
"1133","2025-08-13","09:26:30:00",0,77.314815,107
"1134","2025-08-13","09:26:30:00",1,77.592593,102
"1135","2025-08-13","09:26:37:00",0,75.462963,103
"1136","2025-08-13","09:26:37:00",1,75.648148,96
"1137","2025-08-13","09:26:45:00",0,75.648148,102
"1138","2025-08-13","09:26:45:00",1,75.37037,99
"1139","2025-08-13","09:26:52:00",1,76.018519,96
"1140","2025-08-13","09:26:52:00",0,76.018519,101
"1141","2025-08-13","09:26:59:00",1,75.648148,91
"1142","2025-08-13","09:26:59:00",0,75.833333,98
"1143","2025-08-13","09:27:06:00",1,78.148148,87
"1144","2025-08-13","09:27:06:00",0,75.925926,99
"1145","2025-08-13","09:27:14:00",0,75.925926,92
"1146","2025-08-13","09:27:14:00",1,74.351852,89
"1147","2025-08-13","09:27:21:00",1,75.555556,89
"1148","2025-08-13","09:27:21:00",0,75.648148,101
"1149","2025-08-13","09:27:28:00",1,75.462963,92
"1150","2025-08-13","09:27:28:00",0,75.648148,100
"1151","2025-08-13","09:27:36:00",1,75.648148,91
"1152","2025-08-13","09:27:36:00",0,75.833333,99
"1153","2025-08-13","09:27:43:00",1,75.37037,94
"1154","2025-08-13","09:27:43:00",0,75.185185,98
"1155","2025-08-13","09:27:50:00",0,75.925926,99
"1156","2025-08-13","09:27:50:00",1,76.481481,88
"1157","2025-08-13","09:27:57:00",1,75.37037,93
"1158","2025-08-13","09:27:57:00",0,75.925926,93
"1159","2025-08-13","09:28:05:00",0,75.740741,92
"1160","2025-08-13","09:28:05:00",1,75.555556,93
"1161","2025-08-13","09:28:12:00",1,75.740741,96
"1162","2025-08-13","09:28:12:00",0,75.925926,95
"1163","2025-08-13","09:28:19:00",1,79.722222,88
"1164","2025-08-13","09:28:19:00",0,75.277778,96
"1165","2025-08-13","09:28:26:00",1,72.685185,94
"1166","2025-08-13","09:28:27:00",0,75.740741,102
"1167","2025-08-13","09:28:34:00",1,74.166667,96
"1168","2025-08-13","09:28:34:00",0,75.185185,101
"1169","2025-08-13","09:28:41:00",1,76.018519,93
"1170","2025-08-13","09:28:41:00",0,76.018519,104
"1171","2025-08-13","09:28:48:00",1,75.555556,91
"1172","2025-08-13","09:28:48:00",0,75.277778,103
"1173","2025-08-13","09:28:56:00",1,75.092593,95
"1174","2025-08-13","09:28:56:00",0,75.462963,105
"1175","2025-08-13","09:29:03:00",1,75.833333,96
"1176","2025-08-13","09:29:03:00",0,76.111111,104
"1177","2025-08-13","09:29:10:00",1,74.537037,97
"1178","2025-08-13","09:29:10:00",0,74.814815,102
"1179","2025-08-13","09:29:17:00",1,75.833333,93
"1180","2025-08-13","09:29:17:00",0,75.648148,98
"1181","2025-08-13","09:29:25:00",1,75.833333,86
"1182","2025-08-13","09:29:25:00",0,75.277778,99
"1183","2025-08-13","09:29:32:00",1,75.185185,92
"1184","2025-08-13","09:29:32:00",0,75.185185,103
"1185","2025-08-13","09:29:39:00",0,75.462963,105
"1186","2025-08-13","09:29:39:00",1,78.240741,90
"1187","2025-08-13","09:29:46:00",1,73.518519,83
"1188","2025-08-13","09:29:47:00",0,75.092593,102
"1189","2025-08-13","09:29:54:00",1,74.351852,90
"1190","2025-08-13","09:29:54:00",0,75.555556,106
"1191","2025-08-13","09:30:01:00",1,76.296296,91
"1192","2025-08-13","09:30:01:00",0,75.37037,103
"1193","2025-08-13","09:30:08:00",1,74.444444,94
"1194","2025-08-13","09:30:08:00",0,75.37037,106
"1195","2025-08-13","09:30:16:00",0,75.462963,103
"1196","2025-08-13","09:30:16:00",1,75.277778,90
"1197","2025-08-13","09:30:23:00",1,86.203704,86
"1198","2025-08-13","09:30:23:00",0,77.12963,104
"1199","2025-08-13","09:30:30:00",1,66.574074,93
"1200","2025-08-13","09:30:30:00",0,74.444444,104
"1201","2025-08-13","09:30:37:00",0,74.62963,102
"1202","2025-08-13","09:30:45:00",0,75.740741,94
"1203","2025-08-13","09:30:52:00",0,71.296296,95
"1204","2025-08-13","09:30:59:00",0,71.574074,94
"1205","2025-08-13","09:31:07:00",1,67.222222,92
"1206","2025-08-13","09:31:07:00",0,67.87037,99
"1207","2025-08-13","09:31:14:00",1,64.814815,93
"1208","2025-08-13","09:31:14:00",0,66.388889,102
"1209","2025-08-13","09:31:21:00",1,67.037037,97
"1210","2025-08-13","09:31:21:00",0,67.5,104
"1211","2025-08-13","09:31:28:00",1,67.314815,96
"1212","2025-08-13","09:31:28:00",0,67.314815,106
"1213","2025-08-13","09:31:35:00",0,67.407407,105
"1214","2025-08-13","09:31:36:00",1,67.592593,101
"1215","2025-08-13","09:31:43:00",1,68.425926,100
"1216","2025-08-13","09:31:43:00",0,68.425926,108
"1217","2025-08-13","09:31:50:00",0,65.555556,102
"1218","2025-08-13","09:31:50:00",1,65.185185,104
"1219","2025-08-13","09:31:57:00",1,65.925926,107
"1220","2025-08-13","09:31:57:00",0,65.648148,99
"1221","2025-08-13","09:32:04:00",1,64.907407,110
"1222","2025-08-13","09:32:05:00",0,64.814815,107
"1223","2025-08-13","09:32:12:00",1,63.888889,109
"1224","2025-08-13","09:32:12:00",0,64.814815,104
"1225","2025-08-13","09:32:19:00",1,64.074074,107
"1226","2025-08-13","09:32:19:00",0,63.148148,98
"1227","2025-08-13","09:32:26:00",1,62.407407,108
"1228","2025-08-13","09:32:26:00",0,62.685185,97
"1229","2025-08-13","09:32:33:00",1,60.925926,103
"1230","2025-08-13","09:32:34:00",0,60.925926,100
"1231","2025-08-13","09:32:41:00",1,59.722222,105
"1232","2025-08-13","09:32:41:00",0,59.351852,102
"1233","2025-08-13","09:32:48:00",0,57.962963,103
"1234","2025-08-13","09:32:48:00",1,57.777778,100
"1235","2025-08-13","09:32:55:00",1,56.018519,100
"1236","2025-08-13","09:32:55:00",0,56.203704,107
"1237","2025-08-13","09:33:02:00",1,54.814815,103
"1238","2025-08-13","09:33:02:00",0,54.537037,110
"1239","2025-08-13","09:33:09:00",1,54.444444,101
"1240","2025-08-13","09:33:10:00",0,55.462963,97
"1241","2025-08-13","09:33:17:00",1,50.185185,109
"1242","2025-08-13","09:33:17:00",0,49.351852,105
"1243","2025-08-13","09:33:24:00",1,48.611111,107
"1244","2025-08-13","09:33:24:00",0,48.611111,101
"1245","2025-08-13","09:33:31:00",1,46.481481,106
"1246","2025-08-13","09:33:31:00",0,46.666667,104
"1247","2025-08-13","09:33:38:00",1,43.518519,97
"1248","2025-08-13","09:33:38:00",0,43.240741,101
"1249","2025-08-13","09:33:45:00",1,40.555556,99
"1250","2025-08-13","09:33:45:00",0,40.462963,112
"1251","2025-08-13","09:33:52:00",1,38.981481,101
"1252","2025-08-13","09:33:53:00",0,39.074074,110
"1253","2025-08-13","09:34:00:00",1,36.574074,108
"1254","2025-08-13","09:34:00:00",0,36.759259,100
"1255","2025-08-13","09:34:07:00",1,33.240741,111
"1256","2025-08-13","09:34:07:00",0,33.518519,103
"1257","2025-08-13","09:34:14:00",0,30.37037,109
"1258","2025-08-13","09:34:14:00",1,31.203704,108
"1259","2025-08-13","09:34:21:00",1,28.240741,109
"1260","2025-08-13","09:34:21:00",0,28.518519,112
"1261","2025-08-13","09:34:28:00",0,25.833333,114
"1262","2025-08-13","09:34:28:00",1,25.555556,113
"1263","2025-08-13","09:34:35:00",1,23.055556,118
"1264","2025-08-13","09:34:35:00",0,22.777778,116
"1265","2025-08-13","09:34:42:00",0,20.092593,115
"1266","2025-08-13","09:34:42:00",1,20.37037,118
"1267","2025-08-13","09:34:49:00",1,17.87037,118
"1268","2025-08-13","09:34:49:00",0,18.148148,112
"1269","2025-08-13","09:34:56:00",1,17.12963,88
"1270","2025-08-13","09:34:56:00",0,16.851852,108
"1271","2025-08-13","09:35:04:00",0,16.851852,102
"1272","2025-08-13","09:35:04:00",1,16.388889,96
"1273","2025-08-13","09:35:11:00",1,17.407407,102
"1274","2025-08-13","09:35:11:00",0,16.759259,107
"1275","2025-08-13","09:35:18:00",0,12.777778,112
"1276","2025-08-13","09:35:18:00",1,12.314815,107
"1277","2025-08-13","09:35:25:00",0,12.037037,114
"1278","2025-08-13","09:35:25:00",1,12.222222,108
"1279","2025-08-13","09:35:32:00",1,10.740741,104
"1280","2025-08-13","09:35:32:00",0,11.111111,109
"1281","2025-08-13","09:35:39:00",0,10.185185,108
"1282","2025-08-13","09:35:39:00",1,10.462963,105
"1283","2025-08-13","09:35:46:00",1,8.981481,105
"1284","2025-08-13","09:35:46:00",0,9.166667,113
"1285","2025-08-13","09:35:53:00",1,7.87037,106
"1286","2025-08-13","09:35:53:00",0,7.777778,117
"1287","2025-08-13","09:36:00:00",1,9.166667,104
"1288","2025-08-13","09:36:00:00",0,9.814815,101
"1289","2025-08-13","09:36:07:00",0,3.611111,100
"1290","2025-08-13","09:36:07:00",1,4.074074,105
"1291","2025-08-13","09:36:14:00",1,5.37037,96
"1292","2025-08-13","09:36:14:00",0,5.37037,94
"1293","2025-08-13","09:36:21:00",1,4.722222,106
"1294","2025-08-13","09:36:21:00",0,5.555556,91
"1295","2025-08-13","09:36:28:00",1,3.240741,92
"1296","2025-08-13","09:36:28:00",0,1.851852,100
"1297","2025-08-13","09:36:35:00",1,1.759259,98
"1298","2025-08-13","09:36:35:00",0,2.314815,93
"1299","2025-08-13","09:36:42:00",0,0.833333,89
"1300","2025-08-13","09:36:42:00",1,0.833333,90
"1301","2025-08-13","09:36:49:00",0,4.444444,76
"1302","2025-08-13","09:36:49:00",1,3.611111,76
"1303","2025-08-13","09:36:56:00",0,19.259259,77
"1304","2025-08-13","09:36:56:00",1,20.648148,79
"1305","2025-08-13","09:37:03:00",0,8.518519,78
"1306","2025-08-13","09:37:03:00",1,7.222222,77
"1307","2025-08-13","09:37:24:00",0,29.722222,81
