FileName: C:\2005SE~1\SEL0042.TXT
Local Time: Thu Oct 13 08:50:38 2005

Ship: Marco Michel Trip: 01 Tow: sel0042
Comments: zone 19
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread WingSpread      Depth 
051013  115039  46  48.7430 N  61   7.2460 W   4.1        4.0*       7.0*       0.0        5.3*      32.9*
051013  115041  46  48.7410 N  61   7.2500 W   4.9        4.0        7.0        0.0        5.3       32.9 
051013  115043  46  48.7400 N  61   7.2540 W   5.4        4.0        7.0        0.0        5.3       32.9 
051013  115045  46  48.7380 N  61   7.2570 W   5.5        4.0        7.0        0.0        5.3       32.9 
051013  115047  46  48.7360 N  61   7.2610 W   5.9        4.0        7.0        0.0        5.3       32.9 
051013  115049  46  48.7350 N  61   7.2660 W   6.7        4.0        7.0        0.0        5.3       32.9 
051013  115051  46  48.7320 N  61   7.2700 W   6.5        4.0        7.0        0.0        5.3       32.9 
051013  115053  46  48.7310 N  61   7.2750 W   6.7        4.0        7.0        0.0        5.3       32.9 
051013  115055  46  48.7280 N  61   7.2800 W   7.1        4.0        7.0        0.0        5.3       32.9 
051013  115057  46  48.7260 N  61   7.2850 W   7.2        4.0        7.0        0.0        5.3       32.9 
051013  115059  46  48.7230 N  61   7.2900 W   7.3        4.0        7.0        0.0        5.3       32.9 
051013  115101  46  48.7210 N  61   7.2940 W   7.3        4.0        7.0        0.0        5.3       32.9 
051013  115103  46  48.7190 N  61   7.3000 W   7.2        4.0        7.0        0.0        5.3       32.9 
051013  115105  46  48.7160 N  61   7.3040 W   7.4        4.0        7.0        0.0        5.3       32.9 
051013  115107  46  48.7130 N  61   7.3090 W   7.6        4.0        7.0        0.0        5.3      666.0*
051013  115109  46  48.7110 N  61   7.3140 W   7.6        4.0        7.0        0.0        5.3      666.0 
051013  115111  46  48.7090 N  61   7.3190 W   7.7        4.0        7.0        0.0        5.3      666.0 
051013  115113  46  48.7060 N  61   7.3240 W   7.4        4.0        7.0        0.0        5.3      666.0 
051013  115115  46  48.7040 N  61   7.3290 W   7.2        4.0        7.0        0.0        5.3      666.0 
051013  115117  46  48.7020 N  61   7.3340 W   7.4        4.0        7.0        0.0        5.3      666.0 
051013  115119  46  48.6990 N  61   7.3390 W   7.9        4.0        7.0        0.0        5.3      666.0 
051013  115121  46  48.6960 N  61   7.3440 W   7.8        4.0        7.0        0.0        5.3      666.0 
051013  115123  46  48.6940 N  61   7.3500 W   7.4        4.0        7.0        0.0        5.3      666.0 
051013  115125  46  48.6920 N  61   7.3550 W   7.1        4.0        7.0        0.0        5.3      666.0 
051013  115127  46  48.6890 N  61   7.3590 W   7.2        4.0        7.0        0.0        5.3      666.0 
051013  115129  46  48.6860 N  61   7.3640 W   7.9        4.0        7.0        0.0        5.3      666.0 
051013  115131  46  48.6840 N  61   7.3690 W   7.7        4.0        7.0        0.0        5.3      666.0 
051013  115133  46  48.6820 N  61   7.3750 W   7.5        4.0        7.0        0.0        5.3      666.0 
051013  115135  46  48.6800 N  61   7.3800 W   7.3        4.0        7.0        0.0        5.3      666.0 
051013  115137  46  48.6770 N  61   7.3840 W   7.4        4.0        7.0        0.0        5.3      666.0 
051013  115139  46  48.6750 N  61   7.3890 W   7.6        4.0        7.0        0.0        5.3      666.0 
051013  115141  46  48.6720 N  61   7.3950 W   7.7        4.0        7.0        0.0        5.3      666.0 
051013  115143  46  48.6700 N  61   7.4000 W   7.5        4.0        7.0        0.0        5.3      666.0 
051013  115145  46  48.6670 N  61   7.4050 W   7.6        4.0        7.0        0.0        5.3      666.0 
051013  115147  46  48.6650 N  61   7.4100 W   7.4        4.0        7.0        0.0        5.3      666.0 
051013  115149  46  48.6630 N  61   7.4150 W   7.6        4.0        7.0        0.0        5.3      666.0 
051013  115151  46  48.6610 N  61   7.4200 W   7.5        4.0        7.0        0.0        5.3      666.0 
051013  115153  46  48.6580 N  61   7.4260 W   7.4        4.0        7.0        0.0        5.3      666.0 
051013  115155  46  48.6560 N  61   7.4310 W   7.6        4.0        7.0        0.0        5.3      666.0 
051013  115157  46  48.6530 N  61   7.4360 W   7.6        4.0        7.0        0.0        5.3      666.0 
051013  115159  46  48.6510 N  61   7.4410 W   7.5        4.0        7.0        0.0        5.3      666.0 
051013  115201  46  48.6490 N  61   7.4460 W   7.4        4.0        7.0        0.0        5.3      666.0 
051013  115203  46  48.6470 N  61   7.4510 W   7.2        4.0        7.0        0.0        5.3      666.0 
051013  115205  46  48.6440 N  61   7.4560 W   7.7        4.0        7.0        0.0        5.3      666.0 
051013  115207  46  48.6420 N  61   7.4610 W   7.8        4.0        7.0        0.0        5.3      666.0 
051013  115209  46  48.6390 N  61   7.4660 W   7.3        4.0        7.0        0.0        5.3      666.0 
051013  115211  46  48.6370 N  61   7.4710 W   7.1        4.0        7.0        0.0        5.3      666.0 
051013  115213  46  48.6350 N  61   7.4760 W   6.6        4.0        7.0        0.0        5.3      666.0 
051013  115215  46  48.6330 N  61   7.4800 W   6.5        4.0        7.0        0.0        5.3      666.0 
051013  115217  46  48.6310 N  61   7.4840 W   6.1        4.0        7.0        0.0        5.3      666.0 
051013  115219  46  48.6290 N  61   7.4880 W   5.8        4.0        7.0        0.0        5.3      666.0 
051013  115221  46  48.6270 N  61   7.4920 W   5.6        4.0        7.0        0.0        5.3      666.0 
051013  115223  46  48.6250 N  61   7.4960 W   5.5        4.0        7.0        0.0        5.3      666.0 
051013  115225  46  48.6240 N  61   7.5000 W   4.9        4.0        7.0        0.0        5.3      666.0 
