FileName: C:\2005SE~1\SEL0072.TXT
Local Time: Thu Oct 13 11:13:18 2005

Ship: Marco Michel Trip: 01 Tow: sel0072
Comments: zone 19
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread WingSpread      Depth 
051013  141428  46  43.9590 N  61   2.9480 W   7.9        9.2        6.2        0.0        3.5      318.5 
051013  141430  46  43.9540 N  61   2.9510 W   7.8        9.2        6.2        0.0        3.5      318.5 
051013  141432  46  43.9500 N  61   2.9530 W   7.6        9.2        6.2        0.0        3.5      318.5 
051013  141434  46  43.9460 N  61   2.9550 W   7.6        9.2        6.2        0.0        3.5      318.5 
051013  141436  46  43.9420 N  61   2.9570 W   7.9        9.2        6.2        0.0        3.5      318.5 
051013  141438  46  43.9380 N  61   2.9590 W   7.9        9.2        6.2        0.0        3.5      318.5 
051013  141440  46  43.9330 N  61   2.9610 W   7.9        9.2        6.2        0.0        3.5      318.5 
051013  141442  46  43.9290 N  61   2.9630 W   7.6        9.2        6.2        0.0        3.5      318.5 
051013  141444  46  43.9250 N  61   2.9640 W   7.4        9.2        6.2        0.0        3.5      318.5 
051013  141446  46  43.9220 N  61   2.9660 W   7.5        9.2        6.2        0.0        3.5      318.5 
051013  141448  46  43.9180 N  61   2.9690 W   8.0        9.2        6.2        0.0        3.5      318.5 
051013  141450  46  43.9130 N  61   2.9710 W   7.9        9.2        6.2        0.0        3.5      318.5 
051013  141452  46  43.9080 N  61   2.9730 W   7.6        9.2        6.2        0.0        3.5      318.5 
051013  141454  46  43.9050 N  61   2.9740 W   7.2        9.2        6.2        0.0        3.5      318.5 
051013  141456  46  43.9010 N  61   2.9760 W   7.4        9.2        6.2        0.0        3.5      318.5 
051013  141458  46  43.8970 N  61   2.9780 W   8.1        9.2        6.2        0.0        3.5      318.5 
051013  141500  46  43.8920 N  61   2.9810 W   8.0        9.2        6.2        0.0        3.5      318.5 
051013  141502  46  43.8880 N  61   2.9820 W   7.7        9.2        6.2        0.0        3.5      318.5 
051013  141504  46  43.8830 N  61   2.9840 W   7.3        9.2        6.2        0.0        3.5      318.5 
051013  141506  46  43.8790 N  61   2.9860 W   7.5        9.2        6.2        0.0        3.5      318.5 
051013  141508  46  43.8750 N  61   2.9880 W   7.7        9.2        6.2        0.0        3.5      318.5 
051013  141510  46  43.8710 N  61   2.9900 W   7.7        9.2        6.2        0.0        3.5      318.5 
051013  141512  46  43.8670 N  61   2.9920 W   7.5        9.2        6.2        0.0        3.5      318.5 
051013  141514  46  43.8630 N  61   2.9930 W   7.6        9.2        6.2        0.0        3.5      318.5 
051013  141516  46  43.8590 N  61   2.9950 W   7.6        9.2        6.2        0.0        3.5      318.5 
051013  141518  46  43.8550 N  61   2.9970 W   7.4        9.2        6.2        0.0        3.5      318.5 
051013  141520  46  43.8520 N  61   2.9990 W   7.5        9.2        6.2        0.0        3.5      318.5 
051013  141522  46  43.8480 N  61   3.0000 W   7.6        9.2        6.2        0.0        3.5      318.5 
051013  141524  46  43.8430 N  61   3.0020 W   7.8        9.2        6.2        0.0        3.5      318.5 
051013  141526  46  43.8390 N  61   3.0050 W   7.7        9.2        6.2        0.0        3.5      318.5 
051013  141528  46  43.8350 N  61   3.0060 W   7.2        9.2        6.2        0.0        3.5      318.5 
051013  141530  46  43.8300 N  61   3.0070 W   7.4        9.2        6.2        0.0        3.5      318.5 
051013  141532  46  43.8260 N  61   3.0090 W   7.7        9.2        6.2        0.0        3.5      318.5 
051013  141534  46  43.8220 N  61   3.0110 W   7.9        9.2        6.2        0.0        3.5      318.5 
051013  141536  46  43.8170 N  61   3.0130 W   7.4        9.2        6.2        0.0        3.5      318.5 
051013  141538  46  43.8140 N  61   3.0140 W   7.0        9.2        6.2        0.0        3.5      318.5 
051013  141540  46  43.8100 N  61   3.0160 W   7.3        9.2        6.2        0.0        3.5      318.5 
051013  141542  46  43.8060 N  61   3.0170 W   7.5        9.2        6.2        0.0        3.5      318.5 
051013  141544  46  43.8020 N  61   3.0190 W   6.8        9.2        6.2        0.0        3.5      318.5 
051013  141546  46  43.7990 N  61   3.0210 W   6.0        9.2        6.2        0.0        3.5      318.5 
051013  141548  46  43.7960 N  61   3.0220 W   5.8        9.2        6.2        0.0        3.5      318.5 
051013  141550  46  43.7930 N  61   3.0240 W   5.9        9.2        6.2        0.0        8.3*      72.9*
051013  141552  46  43.7900 N  61   3.0250 W   5.8        9.2        6.2        0.0        8.3       72.9 
051013  141554  46  43.7870 N  61   3.0270 W   5.6        9.2        6.2        0.0        8.3       72.9 
051013  141556  46  43.7840 N  61   3.0280 W   5.4        9.2        6.2        0.0        8.3       56.7*
051013  141558  46  43.7810 N  61   3.0300 W   5.3        9.2        6.2        0.0        8.3       56.7 
051013  141600  46  43.7780 N  61   3.0310 W   4.6        9.2        6.2        0.0        8.3       56.7 
051013  141602  46  43.7760 N  61   3.0320 W   4.0        9.2        6.2        0.0        4.7*      36.0*
051013  141604  46  43.7740 N  61   3.0330 W   3.1        9.2        6.2        0.0        4.7       36.0 
051013  141606  46  43.7720 N  61   3.0340 W   3.2        9.2        6.2        0.0        9.3*      59.3*
051013  141608  46  43.7710 N  61   3.0350 W   2.7        9.2        6.2        0.0        9.3       59.3 
051013  141610  46  43.7700 N  61   3.0350 W   2.5        9.2       10.1*       0.0        9.3       59.3 
051013  141612  46  43.7690 N  61   3.0360 W   2.3        9.2       10.1        0.0        9.2*      59.7*
051013  141614  46  43.7680 N  61   3.0370 W   2.1        9.2       10.1        0.0        9.2       59.7 
051013  141616  46  43.7670 N  61   3.0370 W   2.1        9.2       10.1        0.0        9.2       59.7 
051013  141618  46  43.7650 N  61   3.0380 W   1.9        9.2       10.1        0.0        9.8*      62.4*
051013  141620  46  43.7650 N  61   3.0380 W   1.5        9.2       10.1        0.0        9.8       62.4 
051013  141622  46  43.7640 N  61   3.0380 W   2.0        9.2       12.9*       0.0       10.7*      62.4 
051013  141624  46  43.7630 N  61   3.0390 W   1.3        9.2       12.9        0.0       10.7       62.4 
051013  141626  46  43.7620 N  61   3.0400 W   1.7        9.2       12.9        0.0       10.7       62.4 
051013  141628  46  43.7610 N  61   3.0410 W   1.3        9.2       12.9        0.0       26.7*      62.4 
051013  141630  46  43.7600 N  61   3.0410 W   1.3        9.2       12.9        0.0       26.7       62.4 
051013  141632  46  43.7590 N  61   3.0410 W   1.5        9.2       12.9        0.0       26.7       62.4 
051013  141634  46  43.7590 N  61   3.0420 W   1.3        9.2       11.8*       0.0       26.7       62.4 
051013  141636  46  43.7580 N  61   3.0430 W   1.6        9.2       11.8        0.0       26.7       62.4 
051013  141638  46  43.7560 N  61   3.0440 W   1.5        9.2       11.8        0.0        7.2*      73.4*
051013  141640  46  43.7550 N  61   3.0450 W   1.5        9.2        6.3*       0.0        7.2       73.4 
051013  141642  46  43.7540 N  61   3.0450 W   1.6        9.2        6.3        0.0        7.2       73.4 
051013  141644  46  43.7540 N  61   3.0450 W   1.3        9.2        6.3        0.0        6.3*      72.0*
051013  141646  46  43.7530 N  61   3.0450 W   1.8        9.2       10.0*       0.0        6.3       72.0 
051013  141648  46  43.7520 N  61   3.0460 W   1.5        9.2       10.0        0.0        5.9*      72.0 
051013  141650  46  43.7510 N  61   3.0460 W   1.5        9.2       10.0        0.0        5.9       73.8*
051013  141652  46  43.7500 N  61   3.0470 W   1.6        9.2       10.0        0.0        5.9       73.8 
051013  141654  46  43.7490 N  61   3.0480 W   1.6        9.2       10.0        0.0        4.8*      66.8*
051013  141656  46  43.7480 N  61   3.0480 W   1.7        9.2       10.0        0.0        4.8       66.8 
051013  141658  46  43.7470 N  61   3.0480 W   1.6        9.2       11.4*       0.0        4.8       66.8 
051013  141700  46  43.7460 N  61   3.0480 W   2.0        9.2       11.4        0.0        7.3*      85.7*
051013  141702  46  43.7450 N  61   3.0490 W   1.7        9.2       11.4        0.0        7.3       85.7 
051013  141704  46  43.7440 N  61   3.0500 W   1.9        9.2       11.4        0.0        6.5*      85.7 
051013  141706  46  43.7430 N  61   3.0500 W   1.5        9.2       11.4        0.0        6.5       70.7*
051013  141708  46  43.7420 N  61   3.0510 W   1.8        9.2       11.4        0.0        6.5       70.7 
051013  141710  46  43.7420 N  61   3.0510 W   1.8        9.2       11.4        0.0        3.2*      77.3*
051013  141712  46  43.7410 N  61   3.0510 W   1.8        9.2       11.4        0.0        3.2       77.3 
051013  141714  46  43.7400 N  61   3.0520 W   1.6        9.2       11.4        0.0        6.1*      77.3 
051013  141716  46  43.7380 N  61   3.0530 W   2.0        9.2        2.1*       0.0        6.1       88.3*
051013  141718  46  43.7370 N  61   3.0540 W   1.6        9.2        2.1        0.0        6.1       88.3 
051013  141720  46  43.7360 N  61   3.0540 W   2.0        9.2        2.1        0.0        5.9*      88.3 
051013  141722  46  43.7350 N  61   3.0540 W   1.7        9.2        2.1        0.0        5.9       88.3*
051013  141724  46  43.7340 N  61   3.0550 W   2.0        3.7*       2.1        0.0        5.9       88.3 
051013  141726  46  43.7330 N  61   3.0550 W   1.8        3.7        2.1        0.0        5.1*      90.1*
051013  141728  46  43.7330 N  61   3.0560 W   1.9        3.7        2.1        0.0        5.1       90.1 
051013  141730  46  43.7320 N  61   3.0560 W   1.9        3.7        2.4*       0.0        5.4*      90.1 
051013  141732  46  43.7310 N  61   3.0560 W   2.1        3.7        2.4        0.0        5.4       93.1*
051013  141734  46  43.7290 N  61   3.0570 W   2.2        3.7        2.4        0.0        5.4       93.1 
051013  141736  46  43.7280 N  61   3.0580 W   1.7        3.8*       2.4        0.0        5.3*      93.1 
051013  141738  46  43.7270 N  61   3.0580 W   2.4        3.8        2.4        0.0        5.3       94.9*
051013  141740  46  43.7260 N  61   3.0590 W   2.1        3.8        2.4        0.0        5.3       94.9 
051013  141742  46  43.7250 N  61   3.0600 W   2.0        3.8        2.5*       0.0        6.8*      94.5*
051013  141744  46  43.7240 N  61   3.0600 W   2.1        3.8        2.5        0.0        6.8       94.5 
051013  141746  46  43.7230 N  61   3.0610 W   2.1        3.8        2.5        0.0        4.0*      94.5 
051013  141748  46  43.7220 N  61   3.0610 W   2.4        3.8        2.5        0.0        4.0      101.0*
051013  141750  46  43.7200 N  61   3.0610 W   2.1        3.9*       2.5        0.0        4.0      101.0 
051013  141752  46  43.7190 N  61   3.0620 W   2.1        3.9        2.5        0.0        6.1*     101.0 
051013  141754  46  43.7180 N  61   3.0630 W   2.2        3.9        2.5        0.0        6.1      102.8*
051013  141756  46  43.7160 N  61   3.0630 W   2.2        3.9        2.5        0.0        4.7*     102.8 
051013  141758  46  43.7160 N  61   3.0640 W   2.3        3.9        2.5        0.0        4.7      102.8 
051013  141800  46  43.7140 N  61   3.0640 W   2.0        3.9        2.5        0.0        4.7      105.0*
051013  141802  46  43.7120 N  61   3.0650 W   2.4        3.9        2.5        0.0        6.2*     105.0 
051013  141804  46  43.7110 N  61   3.0660 W   1.9        3.9        2.5        0.0        6.2      106.3*
051013  141806  46  43.7100 N  61   3.0660 W   2.2        3.9        2.5        0.0        6.2      106.3 
051013  141808  46  43.7090 N  61   3.0670 W   1.9        3.9        2.5        0.0        7.1*     106.3 
051013  141810  46  43.7080 N  61   3.0680 W   2.1        3.9        2.5        0.0        7.1      110.3*
051013  141812  46  43.7070 N  61   3.0680 W   2.3        3.9        2.5        0.0        4.6*     110.3 
051013  141814  46  43.7050 N  61   3.0690 W   1.9        3.9        2.5        0.0        4.6      110.3 
051013  141816  46  43.7040 N  61   3.0700 W   2.2        3.9        2.5        0.0        4.6      112.9*
051013  141818  46  43.7030 N  61   3.0700 W   1.8        3.9        2.5        0.0        5.3*     112.9 
051013  141820  46  43.7020 N  61   3.0700 W   2.2        3.9        2.6*       0.0        5.3      112.9 
051013  141822  46  43.7000 N  61   3.0710 W   2.1        3.9        2.6        0.0        5.3      113.3*
051013  141824  46  43.6990 N  61   3.0720 W   2.0        3.9        2.6        0.0        6.4*     113.3 
051013  141826  46  43.6980 N  61   3.0720 W   2.0        3.9        2.6        0.0        6.4      115.1*
051013  141828  46  43.6970 N  61   3.0730 W   2.0       13.6*       2.6        0.0        6.3*     115.1 
051013  141830  46  43.6960 N  61   3.0730 W   2.0       13.6        2.6        0.0        6.3      115.1 
051013  141832  46  43.6950 N  61   3.0730 W   1.8       13.6        2.6        0.0        6.3      119.9*
051013  141834  46  43.6940 N  61   3.0740 W   2.2       13.6        2.3*       0.0        6.3      119.9 
051013  141836  46  43.6930 N  61   3.0750 W   1.8       13.6        2.3        0.0        6.3      119.9 
051013  141838  46  43.6920 N  61   3.0750 W   2.1       13.6        2.3        0.0       65.2*     118.6*
051013  141840  46  43.6910 N  61   3.0760 W   1.9       13.6        2.3        0.0       65.2      118.6 
051013  141842  46  43.6900 N  61   3.0760 W   1.7        8.0*       2.3        0.0       65.2      123.0*
