FileName: C:\2005SE~1\SEL0062.TXT
Local Time: Thu Oct 13 10:12:26 2005

Ship: Marco Michel Trip: 01 Tow: sel0062
Comments: zone 19
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread WingSpread      Depth 
051013  131228  46  48.6270 N  61   6.9830 W   2.0        3.8*      10.8*       0.0       18.4*       1.3*
051013  131230  46  48.6270 N  61   6.9850 W   1.9        3.8       10.8        0.0       18.4        1.3 
051013  131232  46  48.6270 N  61   6.9860 W   2.6        3.8       10.8        0.0       18.4        1.3 
051013  131234  46  48.6270 N  61   6.9890 W   3.2        3.8       10.8        0.0       18.4        1.3 
051013  131236  46  48.6260 N  61   6.9920 W   4.0        3.8       10.8        0.0       18.4        1.3 
051013  131238  46  48.6260 N  61   6.9960 W   4.5        3.8       10.8        0.0       18.4        1.3 
051013  131240  46  48.6250 N  61   7.0000 W   5.3        3.8       10.8        0.0       18.4        1.3 
051013  131242  46  48.6240 N  61   7.0040 W   5.7        3.8       10.8        0.0       18.4        1.3 
051013  131244  46  48.6240 N  61   7.0090 W   5.7        3.8       10.8        0.0       18.4        1.3 
051013  131246  46  48.6220 N  61   7.0140 W   6.2        3.8       10.8        0.0       18.4        1.3 
051013  131248  46  48.6210 N  61   7.0190 W   6.7        3.8       10.8        0.0       18.4        1.3 
051013  131250  46  48.6200 N  61   7.0250 W   6.9        3.8       10.8        0.0       18.4        1.3 
051013  131252  46  48.6190 N  61   7.0300 W   6.8        3.8       10.8        0.0       18.4        1.3 
051013  131254  46  48.6180 N  61   7.0350 W   6.8        3.8       10.8        0.0       18.4        1.3 
051013  131256  46  48.6170 N  61   7.0410 W   7.0        3.8       10.8        0.0       18.4        1.3 
051013  131258  46  48.6160 N  61   7.0470 W   7.3        3.8       10.8        0.0       18.4        1.3 
051013  131300  46  48.6140 N  61   7.0530 W   7.6        3.8       10.8        0.0       18.4        1.3 
051013  131302  46  48.6130 N  61   7.0580 W   7.2        3.8       10.8        0.0       18.4        1.3 
051013  131304  46  48.6110 N  61   7.0640 W   7.0        3.8       10.8        0.0       18.4        1.3 
051013  131306  46  48.6100 N  61   7.0690 W   7.1        3.8       10.8        0.0       18.4      225.4*
051013  131308  46  48.6080 N  61   7.0750 W   7.6        3.8       10.8        0.0       18.4      225.4 
051013  131310  46  48.6060 N  61   7.0800 W   7.4        3.8       10.8        0.0       18.4      225.4 
051013  131312  46  48.6050 N  61   7.0860 W   7.1        3.8       10.8        0.0       18.4      225.4 
051013  131314  46  48.6040 N  61   7.0920 W   7.1        3.8       10.8        0.0       18.4      225.4 
051013  131316  46  48.6020 N  61   7.0970 W   7.4        3.8       10.8        0.0       18.4      225.4 
051013  131318  46  48.6000 N  61   7.1030 W   7.4        3.8       10.8        0.0       18.4      225.4 
051013  131320  46  48.5990 N  61   7.1080 W   7.3        3.8       10.8        0.0       18.4      225.4 
051013  131322  46  48.5980 N  61   7.1140 W   7.1        3.8       10.8        0.0       18.4      225.4 
051013  131324  46  48.5960 N  61   7.1200 W   7.3        3.8       10.8        0.0       18.4      225.4 
051013  131326  46  48.5940 N  61   7.1250 W   7.8        3.8       10.8        0.0       18.4      225.4 
051013  131328  46  48.5920 N  61   7.1310 W   7.5        3.8       10.8        0.0       18.4      225.4 
051013  131330  46  48.5910 N  61   7.1370 W   7.3        3.8       10.8        0.0       18.4      225.4 
051013  131332  46  48.5900 N  61   7.1430 W   7.2        3.8       10.8        0.0       18.4      225.4 
051013  131334  46  48.5880 N  61   7.1480 W   7.7        3.8       10.8        0.0       18.4      225.4 
051013  131336  46  48.5860 N  61   7.1540 W   7.7        3.8       10.8        0.0       18.4      225.4 
051013  131338  46  48.5850 N  61   7.1600 W   7.4        3.8       10.8        0.0       18.4      225.4 
051013  131340  46  48.5840 N  61   7.1660 W   7.2        3.8       10.8        0.0       18.4      225.4 
051013  131342  46  48.5830 N  61   7.1710 W   7.5        3.8       10.8        0.0       18.4      225.4 
051013  131344  46  48.5810 N  61   7.1770 W   7.7        3.8       10.8        0.0       18.4      225.4 
051013  131346  46  48.5790 N  61   7.1830 W   7.4        3.8       10.8        0.0       18.4      225.4 
051013  131348  46  48.5780 N  61   7.1890 W   7.3        3.8       10.8        0.0       18.4      225.4 
051013  131350  46  48.5770 N  61   7.1940 W   7.3        3.8       10.8        0.0       18.4      225.4 
051013  131352  46  48.5750 N  61   7.2000 W   7.6        3.8       10.8        0.0       18.4      225.4 
051013  131354  46  48.5740 N  61   7.2050 W   7.6        3.8       10.8        0.0       18.4      225.4 
051013  131356  46  48.5730 N  61   7.2120 W   7.1        3.8       10.8        0.0       18.4      225.4 
051013  131358  46  48.5710 N  61   7.2170 W   7.2        3.8       10.8        0.0       18.4      225.4 
051013  131400  46  48.5690 N  61   7.2230 W   7.4        3.8       10.8        0.0       18.4      225.4 
051013  131402  46  48.5670 N  61   7.2290 W   7.4        3.8       10.8        0.0       18.4      225.4 
051013  131404  46  48.5650 N  61   7.2340 W   7.4        3.8       10.8        0.0       18.4      225.4 
051013  131406  46  48.5640 N  61   7.2400 W   7.1        3.8       10.8        0.0       18.4      225.4 
